Time,Unit,Value
11/23/2021 16:59,C,34.443
11/23/2021 17:04,C,32.508
11/23/2021 17:09,C,32.134
11/23/2021 17:14,C,32.009
11/23/2021 17:19,C,31.947
11/23/2021 17:24,C,32.009
11/23/2021 17:29,C,31.947
11/23/2021 17:34,C,31.884
11/23/2021 17:39,C,31.884
11/23/2021 17:44,C,31.884
11/23/2021 17:49,C,31.884
11/23/2021 17:54,C,31.822
11/23/2021 17:59,C,31.759
11/23/2021 18:04,C,31.759
11/23/2021 18:09,C,31.822
11/23/2021 18:14,C,31.822
11/23/2021 18:19,C,31.759
11/23/2021 18:24,C,31.822
11/23/2021 18:29,C,31.884
11/23/2021 18:34,C,31.884
11/23/2021 18:39,C,31.884
11/23/2021 18:44,C,31.822
11/23/2021 18:49,C,31.759
11/23/2021 18:54,C,31.759
11/23/2021 18:59,C,31.759
11/23/2021 19:04,C,31.697
11/23/2021 19:09,C,31.635
11/23/2021 19:14,C,31.635
11/23/2021 19:19,C,31.697
11/23/2021 19:24,C,31.697
11/23/2021 19:29,C,31.635
11/23/2021 19:34,C,31.635
11/23/2021 19:39,C,31.635
11/23/2021 19:44,C,31.635
11/23/2021 19:49,C,31.572
11/23/2021 19:54,C,31.572
11/23/2021 19:59,C,31.572
11/23/2021 20:04,C,31.635
11/23/2021 20:09,C,31.572
11/23/2021 20:14,C,31.572
11/23/2021 20:19,C,31.51
11/23/2021 20:24,C,31.572
11/23/2021 20:29,C,31.572
11/23/2021 20:34,C,31.51
11/23/2021 20:39,C,31.447
11/23/2021 20:44,C,31.385
11/23/2021 20:49,C,31.385
11/23/2021 20:54,C,31.385
11/23/2021 20:59,C,31.447
11/23/2021 21:04,C,31.447
11/23/2021 21:09,C,31.385
11/23/2021 21:14,C,31.322
11/23/2021 21:19,C,31.322
11/23/2021 21:24,C,31.322
11/23/2021 21:29,C,31.385
11/23/2021 21:34,C,31.385
11/23/2021 21:39,C,31.385
11/23/2021 21:44,C,31.322
11/23/2021 21:49,C,31.385
11/23/2021 21:54,C,31.447
11/23/2021 21:59,C,31.447
11/23/2021 22:04,C,31.447
11/23/2021 22:09,C,31.447
11/23/2021 22:14,C,31.51
11/23/2021 22:19,C,31.51
11/23/2021 22:24,C,31.51
11/23/2021 22:29,C,31.447
11/23/2021 22:34,C,31.385
11/23/2021 22:39,C,31.447
11/23/2021 22:44,C,31.447
11/23/2021 22:49,C,31.447
11/23/2021 22:54,C,31.447
11/23/2021 22:59,C,31.385
11/23/2021 23:04,C,31.385
11/23/2021 23:09,C,31.385
11/23/2021 23:14,C,31.385
11/23/2021 23:19,C,31.447
11/23/2021 23:24,C,31.447
11/23/2021 23:29,C,31.447
11/23/2021 23:34,C,31.447
11/23/2021 23:39,C,31.447
11/23/2021 23:44,C,31.51
11/23/2021 23:49,C,31.51
11/23/2021 23:54,C,31.447
11/23/2021 23:59,C,31.447
11/24/2021 0:04,C,31.447
11/24/2021 0:09,C,31.51
11/24/2021 0:14,C,31.51
11/24/2021 0:19,C,31.447
11/24/2021 0:24,C,31.447
11/24/2021 0:29,C,31.51
11/24/2021 0:34,C,31.572
11/24/2021 0:39,C,31.572
11/24/2021 0:44,C,31.572
11/24/2021 0:49,C,31.447
11/24/2021 0:54,C,31.385
11/24/2021 0:59,C,31.385
11/24/2021 1:04,C,31.385
11/24/2021 1:09,C,31.447
11/24/2021 1:14,C,31.447
11/24/2021 1:19,C,31.51
11/24/2021 1:24,C,31.572
11/24/2021 1:29,C,31.51
11/24/2021 1:34,C,31.51
11/24/2021 1:39,C,31.51
11/24/2021 1:44,C,31.572
11/24/2021 1:49,C,31.572
11/24/2021 1:54,C,31.635
11/24/2021 1:59,C,31.572
11/24/2021 2:04,C,31.51
11/24/2021 2:09,C,31.51
11/24/2021 2:14,C,31.572
11/24/2021 2:19,C,31.572
11/24/2021 2:24,C,31.572
11/24/2021 2:29,C,31.51
11/24/2021 2:34,C,31.51
11/24/2021 2:39,C,31.51
11/24/2021 2:44,C,31.51
11/24/2021 2:49,C,31.51
11/24/2021 2:54,C,31.51
11/24/2021 2:59,C,31.51
11/24/2021 3:04,C,31.51
11/24/2021 3:09,C,31.447
11/24/2021 3:14,C,31.447
11/24/2021 3:19,C,31.447
11/24/2021 3:24,C,31.447
11/24/2021 3:29,C,31.447
11/24/2021 3:34,C,31.447
11/24/2021 3:39,C,31.447
11/24/2021 3:44,C,31.385
11/24/2021 3:49,C,31.385
11/24/2021 3:54,C,31.385
11/24/2021 3:59,C,31.385
11/24/2021 4:04,C,31.447
11/24/2021 4:09,C,31.385
11/24/2021 4:14,C,31.322
11/24/2021 4:19,C,31.322
11/24/2021 4:24,C,31.385
11/24/2021 4:29,C,31.385
11/24/2021 4:34,C,31.447
11/24/2021 4:39,C,31.385
11/24/2021 4:44,C,31.385
11/24/2021 4:49,C,31.322
11/24/2021 4:54,C,31.385
11/24/2021 4:59,C,31.385
11/24/2021 5:04,C,31.385
11/24/2021 5:09,C,31.385
11/24/2021 5:14,C,31.385
11/24/2021 5:19,C,31.322
11/24/2021 5:24,C,31.322
11/24/2021 5:29,C,31.322
11/24/2021 5:34,C,31.26
11/24/2021 5:39,C,31.322
11/24/2021 5:44,C,31.322
11/24/2021 5:49,C,31.322
11/24/2021 5:54,C,31.322
11/24/2021 5:59,C,31.385
11/24/2021 6:04,C,31.385
11/24/2021 6:09,C,31.447
11/24/2021 6:14,C,31.385
11/24/2021 6:19,C,31.385
11/24/2021 6:24,C,31.322
11/24/2021 6:29,C,31.26
11/24/2021 6:34,C,31.135
11/24/2021 6:39,C,31.135
11/24/2021 6:44,C,31.073
11/24/2021 6:49,C,31.073
11/24/2021 6:54,C,31.073
11/24/2021 6:59,C,31.01
11/24/2021 7:04,C,30.948
11/24/2021 7:09,C,30.948
11/24/2021 7:14,C,30.886
11/24/2021 7:19,C,30.886
11/24/2021 7:24,C,30.886
11/24/2021 7:29,C,30.886
11/24/2021 7:34,C,30.886
11/24/2021 7:39,C,30.886
11/24/2021 7:44,C,30.948
11/24/2021 7:49,C,31.01
11/24/2021 7:54,C,31.073
11/24/2021 7:59,C,31.073
11/24/2021 8:04,C,31.073
11/24/2021 8:09,C,31.073
11/24/2021 8:14,C,31.01
11/24/2021 8:19,C,31.01
11/24/2021 8:24,C,31.01
11/24/2021 8:29,C,31.01
11/24/2021 8:34,C,30.948
11/24/2021 8:39,C,30.948
11/24/2021 8:44,C,30.886
11/24/2021 8:49,C,30.948
11/24/2021 8:54,C,30.948
11/24/2021 8:59,C,30.948
11/24/2021 9:04,C,31.01
11/24/2021 9:09,C,31.073
11/24/2021 9:14,C,31.073
11/24/2021 9:19,C,31.01
11/24/2021 9:24,C,31.01
11/24/2021 9:29,C,31.01
11/24/2021 9:34,C,31.073
11/24/2021 9:39,C,31.01
11/24/2021 9:44,C,31.01
11/24/2021 9:49,C,31.01
11/24/2021 9:54,C,31.073
11/24/2021 9:59,C,31.073
11/24/2021 10:04,C,31.01
11/24/2021 10:09,C,30.948
11/24/2021 10:14,C,31.01
11/24/2021 10:19,C,31.073
11/24/2021 10:24,C,31.01
11/24/2021 10:29,C,30.948
11/24/2021 10:34,C,30.886
11/24/2021 10:39,C,30.886
11/24/2021 10:44,C,30.886
11/24/2021 10:49,C,30.886
11/24/2021 10:54,C,30.761
11/24/2021 10:59,C,30.761
11/24/2021 11:04,C,30.761
11/24/2021 11:09,C,30.761
11/24/2021 11:14,C,30.761
11/24/2021 11:19,C,30.698
11/24/2021 11:24,C,30.698
11/24/2021 11:29,C,30.698
11/24/2021 11:34,C,30.698
11/24/2021 11:39,C,30.698
11/24/2021 11:44,C,30.761
11/24/2021 11:49,C,30.823
11/24/2021 11:54,C,30.886
11/24/2021 11:59,C,30.886
11/24/2021 12:04,C,30.948
11/24/2021 12:09,C,31.01
11/24/2021 12:14,C,30.948
11/24/2021 12:19,C,30.948
11/24/2021 12:24,C,30.886
11/24/2021 12:29,C,30.886
11/24/2021 12:34,C,30.823
11/24/2021 12:39,C,30.761
11/24/2021 12:44,C,30.761
11/24/2021 12:49,C,30.761
11/24/2021 12:54,C,30.698
11/24/2021 12:59,C,30.698
11/24/2021 13:04,C,30.698
11/24/2021 13:09,C,30.698
11/24/2021 13:14,C,30.698
11/24/2021 13:19,C,30.636
11/24/2021 13:24,C,30.698
11/24/2021 13:29,C,30.761
