PCS,Setting,Row,Column,AirSpeed
CeilingFan,High,1,1,0.39
CeilingFan,High,2,1,0.59
CeilingFan,High,3,1,1.07
CeilingFan,High,1,2,0.28
CeilingFan,High,2,2,0.23
CeilingFan,High,3,2,0.4
CeilingFan,High,1,3,0.24
CeilingFan,High,2,3,0.3
CeilingFan,High,3,3,0.23
CeilingFan,Low,1,1,0.06
CeilingFan,Low,2,1,0.1
CeilingFan,Low,3,1,0.12
CeilingFan,Low,1,2,0.14
CeilingFan,Low,2,2,0.05
CeilingFan,Low,3,2,0.1
CeilingFan,Low,1,3,0.07
CeilingFan,Low,2,3,0.02
CeilingFan,Low,3,3,0.02
PedestalFan,High,1,1,0.25
PedestalFan,High,2,1,0.15
PedestalFan,High,3,1,0.12
PedestalFan,High,1,2,0.16
PedestalFan,High,2,2,0.96
PedestalFan,High,3,2,0.69
PedestalFan,High,1,3,0.16
PedestalFan,High,2,3,0.21
PedestalFan,High,3,3,0.44
PedestalFan,Low,1,1,0.01
PedestalFan,Low,2,1,0
PedestalFan,Low,3,1,0.01
PedestalFan,Low,1,2,0.18
PedestalFan,Low,2,2,0.38
PedestalFan,Low,3,2,0.28
PedestalFan,Low,1,3,0.12
PedestalFan,Low,2,3,0.08
PedestalFan,Low,3,3,0.01
