Time,Unit,Value
11/25/2021 18:23,C,30.761
11/25/2021 18:28,C,28.45
11/25/2021 18:33,C,28.075
11/25/2021 18:38,C,28.013
11/25/2021 18:43,C,28.013
11/25/2021 18:48,C,28.013
11/25/2021 18:53,C,28.013
11/25/2021 18:58,C,28.013
11/25/2021 19:03,C,28.075
11/25/2021 19:08,C,28.075
11/25/2021 19:13,C,28.138
11/25/2021 19:18,C,28.138
11/25/2021 19:23,C,28.138
11/25/2021 19:28,C,28.138
11/25/2021 19:33,C,28.138
11/25/2021 19:38,C,28.138
11/25/2021 19:43,C,28.138
11/25/2021 19:48,C,28.2
11/25/2021 19:53,C,28.2
11/25/2021 19:58,C,28.2
11/25/2021 20:03,C,28.2
11/25/2021 20:08,C,28.2
11/25/2021 20:13,C,28.2
11/25/2021 20:18,C,28.138
11/25/2021 20:23,C,28.138
11/25/2021 20:28,C,28.138
11/25/2021 20:33,C,28.138
11/25/2021 20:38,C,28.138
11/25/2021 20:43,C,28.138
11/25/2021 20:48,C,28.138
11/25/2021 20:53,C,28.138
11/25/2021 20:58,C,28.2
11/25/2021 21:03,C,28.2
11/25/2021 21:08,C,28.2
11/25/2021 21:13,C,28.263
11/25/2021 21:18,C,28.263
11/25/2021 21:23,C,28.263
11/25/2021 21:28,C,28.263
11/25/2021 21:33,C,28.263
11/25/2021 21:38,C,28.325
11/25/2021 21:43,C,28.325
11/25/2021 21:48,C,28.325
11/25/2021 21:53,C,28.325
11/25/2021 21:58,C,28.325
11/25/2021 22:03,C,28.325
