Time,Unit,Value
11/25/2021 18:23,C,31.674
11/25/2021 18:28,C,28.802
11/25/2021 18:33,C,28.177
11/25/2021 18:38,C,28.052
11/25/2021 18:43,C,27.99
11/25/2021 18:48,C,27.99
11/25/2021 18:53,C,27.99
11/25/2021 18:58,C,27.99
11/25/2021 19:03,C,28.052
11/25/2021 19:08,C,28.052
11/25/2021 19:13,C,28.115
11/25/2021 19:18,C,28.052
11/25/2021 19:23,C,28.115
11/25/2021 19:28,C,28.052
11/25/2021 19:33,C,28.115
11/25/2021 19:38,C,28.052
11/25/2021 19:43,C,28.052
11/25/2021 19:48,C,28.052
11/25/2021 19:53,C,28.115
11/25/2021 19:58,C,28.115
11/25/2021 20:03,C,28.115
11/25/2021 20:08,C,28.052
11/25/2021 20:13,C,28.052
11/25/2021 20:18,C,28.052
11/25/2021 20:23,C,28.052
11/25/2021 20:28,C,28.052
11/25/2021 20:33,C,28.052
11/25/2021 20:38,C,28.052
11/25/2021 20:43,C,28.052
11/25/2021 20:48,C,28.052
11/25/2021 20:53,C,28.115
11/25/2021 20:58,C,28.115
11/25/2021 21:03,C,28.115
11/25/2021 21:08,C,28.177
11/25/2021 21:13,C,28.177
11/25/2021 21:18,C,28.177
11/25/2021 21:23,C,28.177
11/25/2021 21:28,C,28.177
11/25/2021 21:33,C,28.177
11/25/2021 21:38,C,28.177
11/25/2021 21:43,C,28.177
11/25/2021 21:48,C,28.239
11/25/2021 21:53,C,28.239
11/25/2021 21:58,C,28.239
11/25/2021 22:03,C,28.177
11/25/2021 22:08,C,30.363
11/25/2021 22:13,C,28.427
11/25/2021 22:18,C,27.115
11/25/2021 22:23,C,26.178
11/25/2021 22:28,C,25.49
11/25/2021 22:33,C,24.865
11/25/2021 22:38,C,24.303
11/25/2021 22:43,C,23.803
11/25/2021 22:48,C,23.365
11/25/2021 22:53,C,22.99
11/25/2021 22:58,C,22.677
11/25/2021 23:03,C,22.365
11/25/2021 23:08,C,21.864
11/25/2021 23:13,C,21.677
11/25/2021 23:18,C,21.427
11/25/2021 23:23,C,21.114
11/25/2021 23:28,C,20.864
11/25/2021 23:33,C,20.676
11/25/2021 23:38,C,20.551
11/25/2021 23:43,C,20.426
11/25/2021 23:48,C,20.238
11/25/2021 23:53,C,20.176
11/25/2021 23:58,C,20.051
11/26/2021 0:03,C,19.925
11/26/2021 0:08,C,19.863
11/26/2021 0:13,C,19.738
11/26/2021 0:18,C,19.613
11/26/2021 0:23,C,19.55
11/26/2021 0:28,C,19.488
11/26/2021 0:33,C,19.425
11/26/2021 0:38,C,19.3
11/26/2021 0:43,C,19.237
11/26/2021 0:48,C,19.237
11/26/2021 0:53,C,19.112
