Time,Runtime,Runtime.Min,Chamber.SetPoint,Setting,All.T,All.P,LFoot.T,LFoot.P,RFoot.T,RFoot.P,LLowLeg.T,LLowLeg.P,RLowLeg.T,RLowLeg.P,LThigh.T,LThigh.P,RThigh.T,RThigh.P,Pelvis.T,Pelvis.P,Head.T,Head.P,LHand.T,LHand.P,RHand.T,RHand.P,LForearm.T,LForearm.P,RForearm.T,RForearm.P,LUpperArm.T,LUpperArm.P,RUpperArm.T,RUpperArm.P,Chest.T,Chest.P,Back.T,Back.P
11/30/2021 14:08,30,0.5,16,Warmup,19.2,242.1,19.3,266.9,19.2,269.5,18.7,215.9,18.8,211.8,19.1,240.4,19,232,19.5,271.6,19.4,221.2,18.8,263.6,19.3,278.2,19.7,225.7,18.9,217.3,20,255.4,18.8,239.7,18.9,244.3,19.3,250.4
11/30/2021 14:08,60,1,16,Warmup,20.3,240.6,20.9,264.6,20.7,267.5,19.8,214.8,19.8,210.6,20.3,239,20.1,230.9,20.6,269.9,20.5,219.9,19.9,261.9,20.6,276.3,20.8,224.3,20,216.1,21.2,253.7,20,238.2,20,242.8,20.4,249
11/30/2021 14:09,90,1.5,16,Warmup,21.2,239.5,22,263,21.7,266.2,20.6,214.1,20.5,209.7,21.1,237.9,20.9,230,21.4,268.8,21.3,219.1,20.7,260.8,21.5,274.9,21.7,223.2,20.8,215.1,22.2,252.4,20.9,237,20.9,241.7,21.2,247.8
11/30/2021 14:09,120,2,16,Warmup,22,238.5,23.1,261.4,22.7,264.9,21.4,213.2,21.3,208.8,22,236.8,21.8,228.9,22.2,267.6,22,218.3,21.4,259.7,22.4,273.7,22.6,222.2,21.7,214.1,23.1,251.2,21.8,235.7,21.7,240.6,22,246.7
11/30/2021 14:10,150,2.5,16,Warmup,22.8,237.5,24.1,260,23.6,263.6,22.2,212.5,22,208,22.9,235.9,22.6,228,22.8,266.7,22.6,217.8,22.1,258.8,23.3,272.3,23.4,221.2,22.4,213.2,24,249.9,22.7,234.6,22.5,239.6,22.7,245.7
11/30/2021 14:10,180,3,16,Warmup,23.5,236.6,25,258.7,24.4,262.5,22.9,211.7,22.7,207.3,23.7,235.2,23.3,227.1,23.4,265.8,23.2,217.2,22.7,257.9,24,271.1,24.2,220.3,23.1,212.4,24.8,248.8,23.5,233.6,23.3,238.6,23.5,244.7
11/30/2021 14:11,210,3.5,16,Warmup,24.2,235.7,25.9,257.5,25.1,261.3,23.5,210.9,23.3,206.5,24.4,234.3,24,226.1,24.1,264.9,23.8,216.5,23.4,256.9,24.9,270,24.9,219.4,23.8,211.6,25.6,247.7,24.3,232.6,24,237.7,24.1,243.8
11/30/2021 14:11,240,4,16,Warmup,24.8,235,26.7,256.4,25.9,260.3,24.1,210.2,23.9,205.9,25.1,233.5,24.6,225.4,24.6,264.2,24.2,216,23.9,256.2,25.5,269.1,25.5,218.7,24.4,210.9,26.3,246.9,24.9,231.8,24.6,237.3,24.7,243.1
11/30/2021 14:12,270,4.5,16,Warmup,25.4,234.3,27.4,255.4,26.5,259.4,24.7,209.5,24.4,205.3,25.7,232.7,25.2,224.7,25.1,263.5,24.7,215.5,24.5,255.4,26.2,268.2,26.1,218,24.9,210.3,26.9,246.1,25.5,231,25.2,236.8,25.3,242.3
11/30/2021 14:12,300,5,16,Warmup,25.9,233.6,28.1,254.5,27.1,258.6,25.3,208.9,25,204.7,26.3,231.9,25.8,224,25.5,262.8,25.1,215,25,254.7,26.8,267.3,26.6,217.3,25.4,209.8,27.5,245.3,26.1,230.4,25.8,236.1,25.8,241.6
11/30/2021 14:13,330,5.5,16,Warmup,26.4,233,28.7,253.7,27.7,257.8,25.8,208.3,25.4,204.2,26.9,231.2,26.3,223.4,26,262.2,25.5,214.6,25.5,254,27.4,266.5,27.1,216.7,25.9,209.2,28.1,244.6,26.7,229.6,26.3,235.4,26.4,240.9
11/30/2021 14:13,360,6,16,Warmup,26.9,232.3,29.3,252.9,28.3,257,26.3,207.8,25.9,203.7,27.4,230.5,26.7,222.8,26.4,261.6,25.9,214.1,26,253.3,27.9,265.8,27.6,216.2,26.3,208.8,28.7,243.8,27.2,229.1,26.8,234.7,26.9,240.2
11/30/2021 14:14,390,6.5,16,Warmup,27.4,231.8,29.8,252.3,28.8,256.3,26.7,207.3,26.3,203.3,27.9,229.9,27.2,222.3,26.8,261,26.2,213.7,26.5,252.7,28.5,265.3,28.1,215.6,26.7,208.3,29.2,243.2,27.7,228.4,27.3,234.2,27.4,239.7
11/30/2021 14:14,420,7,16,Warmup,27.8,231.2,30.4,251.6,29.3,255.7,27.1,206.9,26.7,202.8,28.4,229.3,27.6,221.8,27.2,260.4,26.6,213.3,26.9,252.1,28.9,264.6,28.5,215.1,27.1,207.9,29.7,242.6,28.2,227.9,27.7,233.6,27.8,239.1
11/30/2021 14:15,450,7.5,16,Warmup,28.2,230.7,30.8,250.9,29.8,255,27.5,206.4,27.1,202.4,28.9,228.8,28,221.3,27.6,259.9,26.9,212.9,27.3,251.5,29.4,264,28.9,214.7,27.5,207.4,30.1,242.1,28.6,227.4,28.1,233.1,28.2,238.5
11/30/2021 14:15,480,8,16,Warmup,28.6,230.3,31.3,250.4,30.2,254.5,27.9,206,27.4,202,29.3,228.3,28.4,220.8,28,259.4,27.3,212.5,27.8,250.9,29.8,263.4,29.3,214.3,27.8,207.1,30.5,241.5,29.1,226.9,28.5,232.6,28.7,238
