Chamber.SetPoint,PCS,Baseline,Mean,u
16,ElectricMPHigh,All Passive,47.1,0.1
16,ElectricMPHigh,Baseline,50.1,0.5
16,ElectricMPLow,All Passive,21.6,0.2
16,ElectricMPLow,Baseline,22.6,0.3
16,HydropoweredMP,All Passive,112.5,0.3
16,HydropoweredMP,Baseline,133.0,0.3
28,HydropoweredMP,All Passive,125.2,0.3
28,HydropoweredMP,Baseline,118.2,0.2
28,CeilingFanHigh,All Passive,18.0,0.1
28,CeilingFanHigh,Baseline,18.0,0.1
28,CeilingFanLow,All Passive,1.0,0.1
28,CeilingFanLow,Baseline,1.0,0.1
16,HeatedBlanket,All Passive,40.2,0.2
16,HeatedBlanket,Baseline,41.2,0.2
28,PedestalFanHigh,All Passive,14.8,0.1
28,PedestalFanHigh,Baseline,14.8,0.1
28,PedestalFanLow,All Passive,2.8,0.1
28,PedestalFanLow,Baseline,2.8,0.1
