Location Title,Latitude {N+/S-},Longitude {E+/W-},TimeZone {+/- GMT},Elevation {m}
POWER_Point_Hourly_20150601_20150630_024d86N_067d00E_LT,24.8607,67.0011,5.0,53.05
Number of Design Conditions,0
Number of Typical/Extreme Periods,0
Number of Ground Temperature Depths,0
Leap Year Observed?,Daylight Saving Start Date,Daylight Saving End Date,Number of Holidays,Holiday Name,Holiday Date,<repeat for # Holidays>
No,0,0,0
Comment Line #1
"NASA/POWER CERES/MERRA2 Native Resolution Hourly Data; Period 2015/06/01-2015/06/30 (inclusive)"
Comment Line #2
"The Hourly Averaged Data is in Local Time (LT)"
Number of Data Periods [DP],Number of Intervals per Hour,DP Name/Description,DP Start Day of Week,DP Start Day, DP End Day,<repeat to # Data Periods>
DATA PERIODS,1,1,Data,Sunday,1/1,12/31
Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr}
Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
2015/06/01,01:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,27.7,27.19,96.94,99429.0,0.0,0.0,402.38,0.0,0.0,0.0,999999,999999,999999,999999,236.24,3.8,0.56,99,9999,99999,9,999999999,2.43,0.609,0.0,99,999.0,0.0,9
2015/06/01,02:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,27.44,27.19,98.38,99350.0,0.0,0.0,400.33,0.0,0.0,0.0,999999,999999,999999,999999,241.34,3.63,0.49,99,9999,99999,9,999999999,2.34,0.586,0.0,99,999.0,0.0,9
2015/06/01,03:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,27.22,27.22,99.81,99292.0,0.0,0.0,400.17,0.0,0.0,0.0,999999,999999,999999,999999,249.17,3.6,0.42,99,9999,99999,9,999999999,2.35,0.562,0.0,99,999.0,0.0,9
2015/06/01,04:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,27.04,27.22,100.0,99263.0,0.0,0.0,419.7,0.0,0.0,0.0,999999,999999,999999,999999,260.5,3.69,4.25,99,9999,99999,9,999999999,2.23,0.555,0.0,99,999.0,0.0,9
2015/06/01,05:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,26.87,26.99,100.0,99266.0,0.0,0.0,399.33,0.0,0.0,0.0,999999,999999,999999,999999,273.47,3.74,0.25,99,9999,99999,9,999999999,2.29,0.562,0.0,99,999.0,0.0,9
2015/06/01,06:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,26.71,26.33,98.88,99292.0,0.0,0.0,468.65,0.0,0.0,0.0,999999,999999,999999,999999,283.08,3.73,9.75,99,9999,99999,9,999999999,2.1,0.539,0.0,99,999.0,0.0,9
2015/06/01,07:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,27.76,25.24,88.81,99352.0,225.27,1324.2,448.3,78.08,33.96,72.3,999999,999999,999999,999999,288.24,3.69,9.51,99,9999,99999,9,999999999,2.18,0.508,0.0,99,0.23,0.0,9
2015/06/01,08:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,29.51,23.25,72.88,99407.0,504.58,1324.12,439.02,251.88,162.8,189.84,999999,999999,999999,999999,291.72,4.01,7.41,99,9999,99999,9,999999999,2.21,0.492,0.0,99,0.21,0.0,9
2015/06/01,09:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,31.48,20.5,55.31,99435.0,772.15,1324.13,441.2,461.66,333.43,267.22,999999,999999,999999,999999,287.45,3.6,5.38,99,9999,99999,9,999999999,2.21,0.461,0.0,99,0.2,0.0,9
2015/06/01,10:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,34.13,17.72,41.5,99438.0,1001.12,1324.16,444.35,652.64,455.35,308.37,999999,999999,999999,999999,282.86,3.33,4.13,99,9999,99999,9,999999999,2.23,0.461,0.0,99,0.19,0.0,9
2015/06/01,11:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,36.88,13.94,28.69,99409.0,1175.88,1324.16,450.02,833.0,534.69,358.18,999999,999999,999999,999999,274.31,3.22,4.8,99,9999,99999,9,999999999,2.24,0.461,0.0,99,0.18,0.0,9
