Date,hourly_Historical
2/6/2021 1:00,46
2/6/2021 2:00,44
2/6/2021 3:00,43
2/6/2021 4:00,41
2/6/2021 5:00,44
2/6/2021 6:00,44
2/6/2021 7:00,44
2/6/2021 8:00,44
2/6/2021 9:00,45
2/6/2021 10:00,45
2/6/2021 11:00,45
2/6/2021 12:00,48
2/6/2021 13:00,48
2/6/2021 14:00,53
2/6/2021 15:00,57
2/6/2021 16:00,58
2/6/2021 17:00,56
2/6/2021 18:00,53
2/6/2021 19:00,51
2/6/2021 20:00,50
2/6/2021 21:00,48
2/6/2021 22:00,46
2/6/2021 23:00,44
2/7/2021 0:00,41
2/7/2021 1:00,38
2/7/2021 2:00,38
2/7/2021 3:00,38
2/7/2021 4:00,35
2/7/2021 5:00,36
2/7/2021 6:00,37
2/7/2021 7:00,37
2/7/2021 8:00,37
2/7/2021 9:00,37
2/7/2021 10:00,38
2/7/2021 11:00,40
2/7/2021 12:00,42
2/7/2021 13:00,46
2/7/2021 14:00,49
2/7/2021 15:00,53
2/7/2021 16:00,55
2/7/2021 17:00,56
2/7/2021 18:00,57
2/7/2021 19:00,55
2/7/2021 20:00,51
2/7/2021 21:00,51
2/7/2021 22:00,50
2/7/2021 23:00,46
2/8/2021 0:00,51
2/8/2021 1:00,48
2/8/2021 2:00,48
2/8/2021 3:00,47
2/8/2021 4:00,48
2/8/2021 5:00,49
2/8/2021 6:00,49
2/8/2021 7:00,49
2/8/2021 8:00,49
2/8/2021 9:00,50
2/8/2021 10:00,50
2/8/2021 11:00,51
2/8/2021 12:00,53
2/8/2021 13:00,58
2/8/2021 14:00,58
2/8/2021 15:00,62
2/8/2021 16:00,63
2/8/2021 17:00,66
2/8/2021 18:00,65
2/8/2021 19:00,58
2/8/2021 20:00,48
2/8/2021 21:00,43
2/8/2021 22:00,41
2/8/2021 23:00,40
2/9/2021 0:00,40
2/9/2021 1:00,39
2/9/2021 2:00,39
2/9/2021 3:00,38
2/9/2021 4:00,36
2/9/2021 5:00,34
2/9/2021 6:00,33
2/9/2021 7:00,32
2/9/2021 8:00,31
2/9/2021 9:00,30
2/9/2021 10:00,30
2/9/2021 11:00,30
2/9/2021 12:00,31
2/9/2021 13:00,32
2/9/2021 14:00,33
2/9/2021 15:00,34
2/9/2021 16:00,34
2/9/2021 17:00,33
2/9/2021 18:00,32
2/9/2021 19:00,32
2/9/2021 20:00,32
2/9/2021 21:00,31
2/9/2021 22:00,31
2/9/2021 23:00,31
2/10/2021 0:00,31
2/10/2021 1:00,31
2/10/2021 2:00,30
2/10/2021 3:00,29
2/10/2021 4:00,29
2/10/2021 5:00,29
2/10/2021 6:00,29
2/10/2021 7:00,28
2/10/2021 8:00,28
2/10/2021 9:00,28
2/10/2021 10:00,29
2/10/2021 11:00,29
2/10/2021 12:00,30
2/10/2021 13:00,30
2/10/2021 14:00,30
2/10/2021 15:00,31
2/10/2021 16:00,31
