Manikin #3.3.34
Interval (sec),30
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. Foot,,,R. Foot,,,L. Low leg,,,R. Low leg,,,L. Thigh,,,R. Thigh,,,Pelvis,,,Head,,,L. Hand,,,R. Hand,,,L. Forearm,,,R. Forearm,,,L. Upper arm,,,R. Upper arm,,,Chest,,,Back,,,Stability,
,(sec),T (degC),P (W/m©÷),Clo (clo),Teq (degC),PMV (%),PPD (degC),SET* (degC),ET* (degC),T (degC),P (W/m©÷),Clo (clo),Teq (degC),PMV (%),PPD (degC),SET* (degC),ET* (degC),T (degC),P (W/m©÷),Clo (clo),Teq (degC),PMV (%),PPD (degC),SET* (degC),ET* (degC),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),,
1/6/2022 9:41:17 PM,30,19.0,242.1,,19.0,,,,,18.6,231.8,,18.6,,,,,0.0,0.0,,0.0,,,,,18.9,267.5,,18.9,270.1,,18.4,216.2,,18.5,212.2,,18.9,239.9,,18.8,231.2,,19.7,271.3,,20.2,220.4,,18.8,263.6,,18.9,278.9,,18.7,227.0,,18.5,217.3,,18.8,258.0,,18.8,239.7,,19.2,243.9,,19.1,250.8,,,
1/6/2022 9:41:48 PM,60,20.3,240.5,,20.3,,,,,19.8,230.3,,19.8,,,,,0.0,0.0,,0.0,,,,,20.5,265.2,,20.5,267.9,,19.5,215.0,,19.3,211.2,,20.1,238.3,,20.0,230.2,,21.0,269.5,,21.6,218.9,,20.0,261.8,,20.2,276.9,,20.0,225.4,,19.8,216.2,,20.2,256.0,,20.1,238.0,,20.5,242.2,,20.3,249.1,,,
1/6/2022 9:42:18 PM,90,21.3,237.9,,21.3,,,,,20.8,224.0,,20.8,,,,,0.0,0.0,,0.0,,,,,21.7,247.4,,21.6,250.4,,20.5,214.1,,20.2,210.1,,21.2,236.9,,21.0,229.1,,21.9,267.5,,22.6,218.0,,20.9,260.5,,21.3,261.9,,21.1,223.9,,20.9,215.0,,21.5,254.3,,21.1,236.7,,21.5,241.0,,21.3,247.7,,,
1/6/2022 9:42:47 PM,120,22.2,233.9,,22.2,,,,,21.7,218.1,,21.7,,,,,0.0,0.0,,0.0,,,,,22.7,229.2,,22.4,235.5,,21.4,213.4,,21.1,209.1,,22.2,236.0,,21.9,228.0,,22.5,255.1,,23.5,216.9,,21.7,254.1,,22.1,246.0,,22.3,222.5,,21.8,213.9,,22.5,246.9,,22.1,235.4,,22.5,240.4,,22.2,246.7,,,
1/6/2022 9:43:19 PM,150,23.0,229.5,,23.0,,,,,22.5,212.4,,22.5,,,,,0.0,0.0,,0.0,,,,,23.6,212.8,,23.1,221.3,,22.2,212.4,,21.9,208.1,,23.1,234.7,,22.8,226.9,,23.1,244.1,,24.3,216.1,,22.3,241.7,,22.8,233.2,,23.1,221.6,,22.7,212.9,,23.3,230.7,,23.0,234.5,,23.4,239.1,,23.0,246.2,,,
1/6/2022 9:43:49 PM,180,23.8,222.0,,23.8,,,,,23.3,208.0,,23.3,,,,,0.0,0.0,,0.0,,,,,24.3,199.5,,23.8,209.1,,23.0,211.6,,22.7,208.1,,23.8,222.1,,23.6,225.7,,23.7,234.1,,25.0,215.8,,22.9,231.6,,23.5,221.2,,23.9,214.1,,23.5,212.7,,24.1,217.5,,23.8,222.0,,24.1,228.8,,23.8,235.8,,,
1/6/2022 9:44:17 PM,210,24.3,213.7,,24.3,,,,,23.9,204.5,,23.9,,,,,0.0,0.0,,0.0,,,,,24.9,188.5,,24.4,198.7,,23.8,211.5,,23.4,207.9,,24.4,210.6,,24.3,213.6,,24.0,226.9,,25.6,210.0,,23.3,224.0,,23.9,212.1,,24.5,203.8,,24.2,209.1,,24.6,207.5,,24.4,211.1,,24.7,218.5,,24.3,225.7,,,
1/6/2022 9:44:47 PM,240,24.9,204.8,,24.9,,,,,24.6,199.2,,24.6,,,,,0.0,0.0,,0.0,,,,,25.4,179.1,,24.9,189.5,,24.5,205.6,,24.1,207.2,,25.0,200.0,,24.8,203.4,,24.5,219.2,,26.0,201.2,,23.8,215.2,,24.5,202.5,,25.0,193.6,,24.8,197.9,,25.1,197.7,,25.0,200.6,,25.2,208.4,,24.8,215.9,,,
1/6/2022 9:45:18 PM,270,25.3,196.6,,25.3,,,,,25.1,191.8,,25.1,,,,,0.0,0.0,,0.0,,,,,25.9,171.0,,25.3,181.7,,25.0,195.8,,24.6,202.8,,25.5,191.2,,25.3,194.3,,24.8,212.5,,26.4,193.9,,24.2,207.9,,24.9,194.3,,25.5,185.1,,25.3,188.6,,25.6,189.6,,25.5,191.5,,25.7,199.7,,25.3,207.6,,,
1/6/2022 9:45:48 PM,300,25.8,189.0,,25.8,,,,,25.5,183.6,,25.5,,,,,0.0,0.0,,0.0,,,,,26.3,163.7,,25.7,174.5,,25.5,187.2,,25.1,194.1,,25.9,183.6,,25.7,186.4,,25.2,206.3,,26.8,187.3,,24.5,201.2,,25.3,187.0,,25.9,177.5,,25.8,180.4,,26.0,182.0,,25.9,183.3,,26.1,191.7,,25.7,199.4,,,
1/6/2022 9:46:19 PM,330,26.1,182.1,,26.1,,,,,25.9,175.7,,25.9,,,,,0.0,0.0,,0.0,,,,,26.6,156.7,,26.0,167.6,,25.9,179.0,,25.6,185.4,,26.3,176.6,,26.1,179.2,,25.5,200.7,,27.1,181.3,,24.9,194.9,,25.7,180.4,,26.2,171.3,,26.1,173.2,,26.3,175.4,,26.3,176.1,,26.5,184.7,,26.1,192.4,,,
1/6/2022 9:46:49 PM,360,26.5,175.9,,26.5,,,,,26.3,168.9,,26.3,,,,,0.0,0.0,,0.0,,,,,27.0,150.8,,26.4,161.7,,26.3,172.0,,26.0,177.9,,26.6,170.1,,26.5,172.9,,25.7,195.6,,27.4,176.1,,25.2,188.6,,26.0,174.7,,26.6,165.6,,26.5,167.1,,26.6,169.5,,26.6,170.1,,26.9,177.9,,26.5,185.8,,,
1/6/2022 9:47:17 PM,390,26.7,170.8,,26.7,,,,,26.6,162.9,,26.6,,,,,0.0,0.0,,0.0,,,,,27.2,145.7,,26.7,156.2,,26.7,165.5,,26.3,171.7,,26.9,165.1,,26.7,168.2,,26.0,191.3,,27.6,171.6,,25.5,183.3,,26.2,169.5,,26.8,161.0,,26.8,161.7,,26.9,164.5,,26.9,164.5,,27.2,172.7,,26.7,180.8,,,
1/6/2022 9:47:47 PM,420,27.0,166.0,,27.0,,,,,26.9,157.7,,26.9,,,,,0.0,0.0,,0.0,,,,,27.5,141.5,,26.9,151.4,,27.0,159.9,,26.6,166.3,,27.2,159.6,,27.0,163.2,,26.2,186.7,,27.9,166.7,,25.8,178.6,,26.5,164.4,,27.0,157.2,,27.0,157.5,,27.1,160.1,,27.1,160.2,,27.4,167.7,,27.0,175.7,,,
1/6/2022 9:48:18 PM,450,27.2,161.6,,27.2,,,,,27.2,152.7,,27.2,,,,,0.0,0.0,,0.0,,,,,27.7,136.9,,27.2,146.8,,27.2,154.7,,26.9,161.0,,27.4,155.2,,27.2,158.5,,26.4,182.9,,28.1,162.9,,26.0,174.0,,26.8,160.1,,27.2,153.2,,27.2,152.8,,27.3,156.5,,27.4,155.7,,27.7,163.5,,27.2,171.4,,,
1/6/2022 9:48:48 PM,480,27.4,157.7,,27.4,,,,,27.4,148.8,,27.4,,,,,0.0,0.0,,0.0,,,,,27.9,133.0,,27.4,143.4,,27.4,150.9,,27.1,156.8,,27.6,151.3,,27.4,154.8,,26.6,179.3,,28.3,159.1,,26.2,169.8,,26.9,156.5,,27.4,149.7,,27.4,149.2,,27.6,152.6,,27.6,152.0,,27.9,159.5,,27.5,167.1,,,
