Chamber.SetPoint,PCS,Baseline,Time,Power,Cycle
16,ElectricMPHigh,TRUE,1/1/00 0:00:00,0,NA
16,ElectricMPHigh,TRUE,1/1/00 0:00:05,0,NA
16,ElectricMPHigh,TRUE,1/1/00 0:00:10,0,NA
16,ElectricMPHigh,TRUE,1/1/00 0:00:15,0,NA
16,ElectricMPHigh,TRUE,1/1/00 0:00:20,0,NA
16,ElectricMPHigh,TRUE,1/1/00 0:00:25,0,NA
16,ElectricMPHigh,TRUE,1/1/00 0:00:30,85.4,1
16,ElectricMPHigh,TRUE,1/1/00 0:00:35,181,1
16,ElectricMPHigh,TRUE,1/1/00 0:00:40,168,1
16,ElectricMPHigh,TRUE,1/1/00 0:00:45,157,1
16,ElectricMPHigh,TRUE,1/1/00 0:00:50,147,1
16,ElectricMPHigh,TRUE,1/1/00 0:00:55,1,1
16,ElectricMPHigh,TRUE,1/1/00 0:01:00,0,1
16,ElectricMPHigh,TRUE,1/1/00 0:01:05,0,1
16,ElectricMPHigh,TRUE,1/1/00 0:01:10,0,1
16,ElectricMPHigh,TRUE,1/1/00 0:01:15,0,1
16,ElectricMPHigh,TRUE,1/1/00 0:01:20,0,1
16,ElectricMPHigh,TRUE,1/1/00 0:01:25,0,1
16,ElectricMPHigh,TRUE,1/1/00 0:01:30,0,1
16,ElectricMPHigh,TRUE,1/1/00 0:01:35,0,1
16,ElectricMPHigh,TRUE,1/1/00 0:01:40,0,1
16,ElectricMPHigh,TRUE,1/1/00 0:01:45,0,1
16,ElectricMPHigh,TRUE,1/1/00 0:01:50,64.9,2
16,ElectricMPHigh,TRUE,1/1/00 0:01:55,181,2
16,ElectricMPHigh,TRUE,1/1/00 0:02:00,168,2
16,ElectricMPHigh,TRUE,1/1/00 0:02:05,155,2
16,ElectricMPHigh,TRUE,1/1/00 0:02:10,147,2
16,ElectricMPHigh,TRUE,1/1/00 0:02:15,2,2
16,ElectricMPHigh,TRUE,1/1/00 0:02:20,0,2
16,ElectricMPHigh,TRUE,1/1/00 0:02:25,0,2
16,ElectricMPHigh,TRUE,1/1/00 0:02:30,0,2
16,ElectricMPHigh,TRUE,1/1/00 0:02:35,0,2
