Chamber.SetPoint,PCS,Baseline,Time,Power,Cycle
16,HeatedBlanket,TRUE,1/1/2000 0:00,123,1
16,HeatedBlanket,TRUE,1/1/2000 0:00,123,1
16,HeatedBlanket,TRUE,1/1/2000 0:00,123,1
16,HeatedBlanket,TRUE,1/1/2000 0:00,121,1
16,HeatedBlanket,TRUE,1/1/2000 0:00,121,1
16,HeatedBlanket,TRUE,1/1/2000 0:00,121,1
16,HeatedBlanket,TRUE,1/1/2000 0:00:00,40,1
16,HeatedBlanket,TRUE,1/1/2000 0:00:05,50,1
16,HeatedBlanket,TRUE,1/1/2000 0:00:10,19.9,1
16,HeatedBlanket,TRUE,1/1/2000 0:00:15,62,1
16,HeatedBlanket,TRUE,1/1/2000 0:00:20,81,1
16,HeatedBlanket,TRUE,1/1/2000 0:00:25,41.9,1
16,HeatedBlanket,TRUE,1/1/2000 0:00:30,809,1
16,HeatedBlanket,TRUE,1/1/2000 0:00:35,42.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:00:40,79,1
16,HeatedBlanket,TRUE,1/1/2000 0:00:45,54,1
16,HeatedBlanket,TRUE,1/1/2000 0:00:50,78,1
16,HeatedBlanket,TRUE,1/1/2000 0:00:55,2,1
16,HeatedBlanket,TRUE,1/1/2000 0:01:00,17,1
16,HeatedBlanket,TRUE,1/1/2000 0:01:05,17,1
16,HeatedBlanket,TRUE,1/1/2000 0:01:10,119.6,1
16,HeatedBlanket,TRUE,1/1/2000 0:01:15,60.1,1
16,HeatedBlanket,TRUE,1/1/2000 0:01:20,59.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:01:25,62,1
16,HeatedBlanket,TRUE,1/1/2000 0:01:30,15,1
16,HeatedBlanket,TRUE,1/1/2000 0:01:35,59.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:01:40,14,1
16,HeatedBlanket,TRUE,1/1/2000 0:01:45,12.2,1
16,HeatedBlanket,TRUE,1/1/2000 0:01:50,125,1
16,HeatedBlanket,TRUE,1/1/2000 0:01:55,108.5,1
16,HeatedBlanket,TRUE,1/1/2000 0:02:00,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:02:05,109.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:02:10,106,1
16,HeatedBlanket,TRUE,1/1/2000 0:02:15,110.2,1
16,HeatedBlanket,TRUE,1/1/2000 0:02:20,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:02:25,1.1,1
16,HeatedBlanket,TRUE,1/1/2000 0:02:30,54,1
16,HeatedBlanket,TRUE,1/1/2000 0:02:35,60.1,1
16,HeatedBlanket,TRUE,1/1/2000 0:02:40,70,1
16,HeatedBlanket,TRUE,1/1/2000 0:02:45,53,1
16,HeatedBlanket,TRUE,1/1/2000 0:02:50,66.8,1
16,HeatedBlanket,TRUE,1/1/2000 0:02:55,53.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:03:00,59.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:03:05,1179,1
16,HeatedBlanket,TRUE,1/1/2000 0:03:10,114.3,1
16,HeatedBlanket,TRUE,1/1/2000 0:03:15,2,1
16,HeatedBlanket,TRUE,1/1/2000 0:03:20,63.8,1
16,HeatedBlanket,TRUE,1/1/2000 0:03:25,2,1
16,HeatedBlanket,TRUE,1/1/2000 0:03:30,56.4,1
16,HeatedBlanket,TRUE,1/1/2000 0:03:35,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:03:40,117,1
16,HeatedBlanket,TRUE,1/1/2000 0:03:45,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:03:50,62.1,1
16,HeatedBlanket,TRUE,1/1/2000 0:03:55,64,1
16,HeatedBlanket,TRUE,1/1/2000 0:04:00,58.9,1
16,HeatedBlanket,TRUE,1/1/2000 0:04:05,1,1
16,HeatedBlanket,TRUE,1/1/2000 0:04:10,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:04:15,60.1,1
16,HeatedBlanket,TRUE,1/1/2000 0:04:20,119.4,1
16,HeatedBlanket,TRUE,1/1/2000 0:04:25,59,1
16,HeatedBlanket,TRUE,1/1/2000 0:04:30,1.4,1
16,HeatedBlanket,TRUE,1/1/2000 0:04:35,57.9,1
16,HeatedBlanket,TRUE,1/1/2000 0:04:40,57.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:04:45,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:04:50,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:04:55,1203,1
16,HeatedBlanket,TRUE,1/1/2000 0:05:00,59.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:05:05,63.6,1
16,HeatedBlanket,TRUE,1/1/2000 0:05:10,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:05:15,114.6,1
16,HeatedBlanket,TRUE,1/1/2000 0:05:20,60,1
16,HeatedBlanket,TRUE,1/1/2000 0:05:25,64.8,1
16,HeatedBlanket,TRUE,1/1/2000 0:05:30,5.9,1
16,HeatedBlanket,TRUE,1/1/2000 0:05:35,6.1,1
16,HeatedBlanket,TRUE,1/1/2000 0:05:40,2,1
16,HeatedBlanket,TRUE,1/1/2000 0:05:45,66.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:05:50,60,1
16,HeatedBlanket,TRUE,1/1/2000 0:05:55,8,1
16,HeatedBlanket,TRUE,1/1/2000 0:06:00,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:06:05,8.9,1
16,HeatedBlanket,TRUE,1/1/2000 0:06:10,51,1
16,HeatedBlanket,TRUE,1/1/2000 0:06:15,50.3,1
16,HeatedBlanket,TRUE,1/1/2000 0:06:20,1133,1
16,HeatedBlanket,TRUE,1/1/2000 0:06:25,10.1,1
16,HeatedBlanket,TRUE,1/1/2000 0:06:30,49.2,1
16,HeatedBlanket,TRUE,1/1/2000 0:06:35,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:06:40,59.6,1
16,HeatedBlanket,TRUE,1/1/2000 0:06:45,2,1
16,HeatedBlanket,TRUE,1/1/2000 0:06:50,107.4,1
16,HeatedBlanket,TRUE,1/1/2000 0:06:55,47.9,1
16,HeatedBlanket,TRUE,1/1/2000 0:07:00,71.8,1
16,HeatedBlanket,TRUE,1/1/2000 0:07:05,2,1
16,HeatedBlanket,TRUE,1/1/2000 0:07:10,13.1,1
16,HeatedBlanket,TRUE,1/1/2000 0:07:15,46.6,1
16,HeatedBlanket,TRUE,1/1/2000 0:07:20,13.8,1
16,HeatedBlanket,TRUE,1/1/2000 0:07:25,46,1
16,HeatedBlanket,TRUE,1/1/2000 0:07:30,45.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:07:35,1090,1
16,HeatedBlanket,TRUE,1/1/2000 0:07:40,45,1
16,HeatedBlanket,TRUE,1/1/2000 0:07:45,1081,1
16,HeatedBlanket,TRUE,1/1/2000 0:07:50,44,1
16,HeatedBlanket,TRUE,1/1/2000 0:07:55,75,1
16,HeatedBlanket,TRUE,1/1/2000 0:08:00,2,1
16,HeatedBlanket,TRUE,1/1/2000 0:08:05,16.9,1
16,HeatedBlanket,TRUE,1/1/2000 0:08:10,2,1
16,HeatedBlanket,TRUE,1/1/2000 0:08:15,59.5,1
16,HeatedBlanket,TRUE,1/1/2000 0:08:19,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:08:24,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:08:29,40.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:08:34,40.2,1
16,HeatedBlanket,TRUE,1/1/2000 0:08:39,99.4,1
16,HeatedBlanket,TRUE,1/1/2000 0:08:44,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:08:49,98.3,1
16,HeatedBlanket,TRUE,1/1/2000 0:08:54,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:08:59,97.3,1
16,HeatedBlanket,TRUE,1/1/2000 0:09:04,59.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:09:09,82.6,1
16,HeatedBlanket,TRUE,1/1/2000 0:09:14,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:09:19,84.2,1
16,HeatedBlanket,TRUE,1/1/2000 0:09:24,59.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:09:29,93.3,1
16,HeatedBlanket,TRUE,1/1/2000 0:09:34,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:09:39,26.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:09:44,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:09:49,27.8,1
16,HeatedBlanket,TRUE,1/1/2000 0:09:54,28.2,1
16,HeatedBlanket,TRUE,1/1/2000 0:09:59,28.9,1
16,HeatedBlanket,TRUE,1/1/2000 0:10:04,30.1,1
16,HeatedBlanket,TRUE,1/1/2000 0:10:09,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:10:14,59.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:10:19,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:10:24,31.8,1
16,HeatedBlanket,TRUE,1/1/2000 0:10:29,42,1
16,HeatedBlanket,TRUE,1/1/2000 0:10:34,86.3,1
16,HeatedBlanket,TRUE,1/1/2000 0:10:39,26.1,1
16,HeatedBlanket,TRUE,1/1/2000 0:10:44,59.5,1
16,HeatedBlanket,TRUE,1/1/2000 0:10:49,59.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:10:54,94.4,1
16,HeatedBlanket,TRUE,1/1/2000 0:10:59,24.1,1
16,HeatedBlanket,TRUE,1/1/2000 0:11:04,94.8,1
16,HeatedBlanket,TRUE,1/1/2000 0:11:09,59.6,1
16,HeatedBlanket,TRUE,1/1/2000 0:11:14,96.4,1
16,HeatedBlanket,TRUE,1/1/2000 0:11:19,2,1
16,HeatedBlanket,TRUE,1/1/2000 0:11:24,38.1,1
16,HeatedBlanket,TRUE,1/1/2000 0:11:29,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:11:34,39.5,1
16,HeatedBlanket,TRUE,1/1/2000 0:11:39,18.8,1
16,HeatedBlanket,TRUE,1/1/2000 0:11:44,40.9,1
16,HeatedBlanket,TRUE,1/1/2000 0:11:49,78,1
16,HeatedBlanket,TRUE,1/1/2000 0:11:54,41.9,1
16,HeatedBlanket,TRUE,1/1/2000 0:11:59,19,1
16,HeatedBlanket,TRUE,1/1/2000 0:12:04,2,1
16,HeatedBlanket,TRUE,1/1/2000 0:12:09,103.5,1
16,HeatedBlanket,TRUE,1/1/2000 0:12:14,0,1
16,HeatedBlanket,TRUE,1/1/2000 0:12:19,1077,1
16,HeatedBlanket,TRUE,1/1/2000 0:12:24,44.9,1
16,HeatedBlanket,TRUE,1/1/2000 0:12:29,1088,1
16,HeatedBlanket,TRUE,1/1/2000 0:12:34,2,1
16,HeatedBlanket,TRUE,1/1/2000 0:12:39,106.2,1
16,HeatedBlanket,TRUE,1/1/2000 0:12:44,71.8,1
16,HeatedBlanket,TRUE,1/1/2000 0:12:49,106.9,1
16,HeatedBlanket,TRUE,1/1/2000 0:12:54,2,1
16,HeatedBlanket,TRUE,1/1/2000 0:12:59,48.5,1
16,HeatedBlanket,TRUE,1/1/2000 0:13:04,69.4,1
16,HeatedBlanket,TRUE,1/1/2000 0:13:09,49.8,1
16,HeatedBlanket,TRUE,1/1/2000 0:13:14,50.9,1
16,HeatedBlanket,TRUE,1/1/2000 0:13:19,51.3,1
16,HeatedBlanket,TRUE,1/1/2000 0:13:24,67.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:13:29,52.7,1
16,HeatedBlanket,TRUE,1/1/2000 0:13:34,66,1
16,HeatedBlanket,TRUE,1/1/2000 0:13:39,62,1
