Plot Title: Hub B,,
#,"Date Time, GMT-08:00","Current, A (LGR S/N: 10459718, SEN S/N: 10282958, LBL: Test-Workstation-power-A)"
1,3/4/22 13:50:03,0
2,3/4/22 13:50:04,0
3,3/4/22 13:50:05,0
4,3/4/22 13:50:06,1.01824
5,3/4/22 13:50:07,0
6,3/4/22 13:50:08,1.02668
7,3/4/22 13:50:09,0
8,3/4/22 13:50:10,0
9,3/4/22 13:50:11,1.02011
10,3/4/22 13:50:12,0
11,3/4/22 13:50:13,1.02387
12,3/4/22 13:50:14,0
13,3/4/22 13:50:15,1.02293
14,3/4/22 13:50:16,0
15,3/4/22 13:50:17,0
16,3/4/22 13:50:18,1.02481
17,3/4/22 13:50:19,1.02199
18,3/4/22 13:50:20,0
19,3/4/22 13:50:21,0
20,3/4/22 13:50:22,1.02011
21,3/4/22 13:50:23,0
22,3/4/22 13:50:24,0
23,3/4/22 13:50:25,1.02199
24,3/4/22 13:50:26,0
25,3/4/22 13:50:27,0
26,3/4/22 13:50:28,1.02011
27,3/4/22 13:50:29,0
28,3/4/22 13:50:30,0
29,3/4/22 13:50:31,0
30,3/4/22 13:50:32,1.02011
31,3/4/22 13:50:33,0
32,3/4/22 13:50:34,1.02481
33,3/4/22 13:50:35,0
34,3/4/22 13:50:36,0
35,3/4/22 13:50:37,1.02105
36,3/4/22 13:50:38,1.02105
37,3/4/22 13:50:39,0
38,3/4/22 13:50:40,0
39,3/4/22 13:50:41,1.02293
40,3/4/22 13:50:42,0
41,3/4/22 13:50:43,1.02105
42,3/4/22 13:50:44,0
43,3/4/22 13:50:45,0
44,3/4/22 13:50:46,0
45,3/4/22 13:50:47,0
46,3/4/22 13:50:48,1.02293
47,3/4/22 13:50:49,0
48,3/4/22 13:50:50,0
49,3/4/22 13:50:51,1.02387
50,3/4/22 13:50:52,0
51,3/4/22 13:50:53,0
52,3/4/22 13:50:54,1.02387
53,3/4/22 13:50:55,0
54,3/4/22 13:50:56,1.02199
55,3/4/22 13:50:57,0
56,3/4/22 13:50:58,0
57,3/4/22 13:50:59,0
58,3/4/22 13:51:00,0
59,3/4/22 13:51:01,1.02199
60,3/4/22 13:51:02,0
61,3/4/22 13:51:03,0
62,3/4/22 13:51:04,1.02011
63,3/4/22 13:51:05,0
64,3/4/22 13:51:06,0
65,3/4/22 13:51:07,0
66,3/4/22 13:51:08,1.01824
67,3/4/22 13:51:09,0
68,3/4/22 13:51:10,0
69,3/4/22 13:51:11,1.02668
70,3/4/22 13:51:12,0
71,3/4/22 13:51:13,0
