Chamber.SetPoint,PCS,Baseline,Time,Power,Cycle
16,HydropoweredMP,TRUE,1/1/2000 0:00:00,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:00:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:01:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:01:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:02:00,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:02:30,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:03:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:03:30,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:04:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:04:30,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:05:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:05:30,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:06:00,132,1
16,HydropoweredMP,TRUE,1/1/2000 0:06:30,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:07:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:07:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:08:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:08:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:09:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:09:30,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:10:00,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:10:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:11:00,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:11:30,132,1
16,HydropoweredMP,TRUE,1/1/2000 0:12:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:12:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:13:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:13:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:14:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:14:30,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:15:00,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:15:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:16:00,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:16:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:17:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:17:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:18:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:18:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:19:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:19:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:20:00,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:20:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:21:00,132,1
16,HydropoweredMP,TRUE,1/1/2000 0:21:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:22:00,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:22:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:23:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:23:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:24:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:24:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:25:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:25:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:26:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:26:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:27:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:27:30,132,1
16,HydropoweredMP,TRUE,1/1/2000 0:28:00,132,1
16,HydropoweredMP,TRUE,1/1/2000 0:28:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:29:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:29:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:30:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:30:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:31:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:31:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:32:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:32:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:33:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:33:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:34:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:34:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:35:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:35:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:36:00,134,1
16,HydropoweredMP,TRUE,1/1/2000 0:36:30,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:37:00,133,1
16,HydropoweredMP,TRUE,1/1/2000 0:37:30,133,1
16,HydropoweredMP,FALSE,1/1/2000 0:00:00,84,
16,HydropoweredMP,FALSE,1/1/2000 0:00:10,86,
16,HydropoweredMP,FALSE,1/1/2000 0:00:20,86,
16,HydropoweredMP,FALSE,1/1/2000 0:00:30,86,
16,HydropoweredMP,FALSE,1/1/2000 0:00:40,86,
16,HydropoweredMP,FALSE,1/1/2000 0:00:50,86,
16,HydropoweredMP,FALSE,1/1/2000 0:01:00,87,
16,HydropoweredMP,FALSE,1/1/2000 0:01:10,86,
16,HydropoweredMP,FALSE,1/1/2000 0:01:20,87,
16,HydropoweredMP,FALSE,1/1/2000 0:01:30,87,
16,HydropoweredMP,FALSE,1/1/2000 0:01:40,86,
16,HydropoweredMP,FALSE,1/1/2000 0:01:50,85,
16,HydropoweredMP,FALSE,1/1/2000 0:02:00,85,
16,HydropoweredMP,FALSE,1/1/2000 0:02:10,85,
16,HydropoweredMP,FALSE,1/1/2000 0:02:20,96,
16,HydropoweredMP,FALSE,1/1/2000 0:02:30,125,1
16,HydropoweredMP,FALSE,1/1/2000 0:02:40,125,1
16,HydropoweredMP,FALSE,1/1/2000 0:02:50,124,1
16,HydropoweredMP,FALSE,1/1/2000 0:03:00,124,1
16,HydropoweredMP,FALSE,1/1/2000 0:03:10,123,1
16,HydropoweredMP,FALSE,1/1/2000 0:03:20,122,1
16,HydropoweredMP,FALSE,1/1/2000 0:03:30,123,1
16,HydropoweredMP,FALSE,1/1/2000 0:03:40,122,1
16,HydropoweredMP,FALSE,1/1/2000 0:03:50,122,1
16,HydropoweredMP,FALSE,1/1/2000 0:04:00,124,1
