Chamber.SetPoint,PCS,Baseline,Time,Power,Cycle
16,ElectricMPHigh,FALSE,1/1/00 0:00:00,0,NA
16,ElectricMPHigh,FALSE,1/1/00 0:00:05,189,1
16,ElectricMPHigh,FALSE,1/1/00 0:00:10,161,1
16,ElectricMPHigh,FALSE,1/1/00 0:00:15,150,1
16,ElectricMPHigh,FALSE,1/1/00 0:00:20,141,1
16,ElectricMPHigh,FALSE,1/1/00 0:00:25,134,1
16,ElectricMPHigh,FALSE,1/1/00 0:00:30,0,1
16,ElectricMPHigh,FALSE,1/1/00 0:00:35,0,1
16,ElectricMPHigh,FALSE,1/1/00 0:00:40,0,1
16,ElectricMPHigh,FALSE,1/1/00 0:00:45,0,1
16,ElectricMPHigh,FALSE,1/1/00 0:00:50,0,1
16,ElectricMPHigh,FALSE,1/1/00 0:00:55,0,1
16,ElectricMPHigh,FALSE,1/1/00 0:01:00,0,1
16,ElectricMPHigh,FALSE,1/1/00 0:01:05,0,1
16,ElectricMPHigh,FALSE,1/1/00 0:01:10,0,1
16,ElectricMPHigh,FALSE,1/1/00 0:01:15,0,1
16,ElectricMPHigh,FALSE,1/1/00 0:01:20,0,1
16,ElectricMPHigh,FALSE,1/1/00 0:01:25,174,2
16,ElectricMPHigh,FALSE,1/1/00 0:01:30,160,2
16,ElectricMPHigh,FALSE,1/1/00 0:01:35,150,2
16,ElectricMPHigh,FALSE,1/1/00 0:01:40,140,2
16,ElectricMPHigh,FALSE,1/1/00 0:01:45,121,2
16,ElectricMPHigh,FALSE,1/1/00 0:01:50,0,2
16,ElectricMPHigh,FALSE,1/1/00 0:01:55,0,2
16,ElectricMPHigh,FALSE,1/1/00 0:02:00,0,2
16,ElectricMPHigh,FALSE,1/1/00 0:02:05,0,2
16,ElectricMPHigh,FALSE,1/1/00 0:02:10,0,2
16,ElectricMPHigh,FALSE,1/1/00 0:02:15,0,2
16,ElectricMPHigh,FALSE,1/1/00 0:02:20,0,2
16,ElectricMPHigh,FALSE,1/1/00 0:02:25,0,2
16,ElectricMPHigh,FALSE,1/1/00 0:02:30,0,2
16,ElectricMPHigh,FALSE,1/1/00 0:02:35,0,2
16,ElectricMPHigh,FALSE,1/1/00 0:02:40,0,2
16,ElectricMPHigh,FALSE,1/1/00 0:02:45,173,3
16,ElectricMPHigh,FALSE,1/1/00 0:02:50,160,3
16,ElectricMPHigh,FALSE,1/1/00 0:02:55,148,3
16,ElectricMPHigh,FALSE,1/1/00 0:03:00,140,3
16,ElectricMPHigh,FALSE,1/1/00 0:03:05,129,3
16,ElectricMPHigh,FALSE,1/1/00 0:03:10,0,3
16,ElectricMPHigh,FALSE,1/1/00 0:03:15,0,3
16,ElectricMPHigh,FALSE,1/1/00 0:03:20,0,3
16,ElectricMPHigh,FALSE,1/1/00 0:03:25,0,3
16,ElectricMPHigh,FALSE,1/1/00 0:03:30,0,3
16,ElectricMPHigh,FALSE,1/1/00 0:03:35,0,3
16,ElectricMPHigh,FALSE,1/1/00 0:03:40,0,3
16,ElectricMPHigh,FALSE,1/1/00 0:03:45,0,3
16,ElectricMPHigh,FALSE,1/1/00 0:03:50,0,3
16,ElectricMPHigh,FALSE,1/1/00 0:03:55,0,3
16,ElectricMPHigh,FALSE,1/1/00 0:04:00,0,3
16,ElectricMPHigh,FALSE,1/1/00 0:04:05,173,4
16,ElectricMPHigh,FALSE,1/1/00 0:04:10,159,4
16,ElectricMPHigh,FALSE,1/1/00 0:04:15,148,4
16,ElectricMPHigh,FALSE,1/1/00 0:04:20,140,4
16,ElectricMPHigh,FALSE,1/1/00 0:04:25,132,4
16,ElectricMPHigh,FALSE,1/1/00 0:04:30,0,4
16,ElectricMPHigh,FALSE,1/1/00 0:04:35,0,4
16,ElectricMPHigh,FALSE,1/1/00 0:04:40,0,4
16,ElectricMPHigh,FALSE,1/1/00 0:04:45,0,4
16,ElectricMPHigh,FALSE,1/1/00 0:04:50,0,4
16,ElectricMPHigh,FALSE,1/1/00 0:04:55,0,4
16,ElectricMPHigh,FALSE,1/1/00 0:05:00,0,4
16,ElectricMPHigh,FALSE,1/1/00 0:05:05,0,4
16,ElectricMPHigh,FALSE,1/1/00 0:05:10,0,4
16,ElectricMPHigh,FALSE,1/1/00 0:05:15,0,4
16,ElectricMPHigh,FALSE,1/1/00 0:05:20,0,4
16,ElectricMPHigh,FALSE,1/1/00 0:05:25,172,5
16,ElectricMPHigh,FALSE,1/1/00 0:05:30,159,5
16,ElectricMPHigh,FALSE,1/1/00 0:05:35,148,5
