PCS,Baseline,Time,Power,Cycle
HeatedBlanket,FALSE,1/1/00 0:00:00,51.7,
HeatedBlanket,FALSE,1/1/00 0:00:05,59.3,
HeatedBlanket,FALSE,1/1/00 0:00:10,49.9,
HeatedBlanket,FALSE,1/1/00 0:00:15,69.9,
HeatedBlanket,FALSE,1/1/00 0:00:20,59.8,
HeatedBlanket,FALSE,1/1/00 0:00:25,59.9,
HeatedBlanket,FALSE,1/1/00 0:00:30,2,
HeatedBlanket,FALSE,1/1/00 0:00:35,24,
HeatedBlanket,FALSE,1/1/00 0:00:40,15.3,
HeatedBlanket,FALSE,1/1/00 0:00:45,60,
HeatedBlanket,FALSE,1/1/00 0:00:50,17.2,
HeatedBlanket,FALSE,1/1/00 0:00:55,18,
HeatedBlanket,FALSE,1/1/00 0:01:00,78.4,
HeatedBlanket,FALSE,1/1/00 0:01:05,79,
HeatedBlanket,FALSE,1/1/00 0:01:10,60.1,
HeatedBlanket,FALSE,1/1/00 0:01:15,80.7,
HeatedBlanket,FALSE,1/1/00 0:01:20,38.1,
HeatedBlanket,FALSE,1/1/00 0:01:25,81.9,
HeatedBlanket,FALSE,1/1/00 0:01:30,59.6,
HeatedBlanket,FALSE,1/1/00 0:01:35,83.1,
HeatedBlanket,FALSE,1/1/00 0:01:40,0,
HeatedBlanket,FALSE,1/1/00 0:01:45,25.5,
HeatedBlanket,FALSE,1/1/00 0:01:50,26,
HeatedBlanket,FALSE,1/1/00 0:01:55,27,
HeatedBlanket,FALSE,1/1/00 0:02:00,27.7,
HeatedBlanket,FALSE,1/1/00 0:02:05,28.1,
HeatedBlanket,FALSE,1/1/00 0:02:10,29.1,
HeatedBlanket,FALSE,1/1/00 0:02:15,30,
HeatedBlanket,FALSE,1/1/00 0:02:20,0,
HeatedBlanket,FALSE,1/1/00 0:02:25,31,
HeatedBlanket,FALSE,1/1/00 0:02:30,87.7,
HeatedBlanket,FALSE,1/1/00 0:02:35,59.9,
HeatedBlanket,FALSE,1/1/00 0:02:40,86.7,
HeatedBlanket,FALSE,1/1/00 0:02:45,59.9,
HeatedBlanket,FALSE,1/1/00 0:02:50,85.7,
HeatedBlanket,FALSE,1/1/00 0:02:55,25.2,
HeatedBlanket,FALSE,1/1/00 0:03:00,84.5,
HeatedBlanket,FALSE,1/1/00 0:03:05,24.2,
HeatedBlanket,FALSE,1/1/00 0:03:10,83,
HeatedBlanket,FALSE,1/1/00 0:03:15,22.9,
HeatedBlanket,FALSE,1/1/00 0:03:20,82.1,
HeatedBlanket,FALSE,1/1/00 0:03:25,0,
HeatedBlanket,FALSE,1/1/00 0:03:30,38.6,
HeatedBlanket,FALSE,1/1/00 0:03:35,0,
HeatedBlanket,FALSE,1/1/00 0:03:40,40.1,
HeatedBlanket,FALSE,1/1/00 0:03:45,19.2,
HeatedBlanket,FALSE,1/1/00 0:03:50,78.2,
HeatedBlanket,FALSE,1/1/00 0:03:55,0,
HeatedBlanket,FALSE,1/1/00 0:04:00,43.1,
HeatedBlanket,FALSE,1/1/00 0:04:05,0,
HeatedBlanket,FALSE,1/1/00 0:04:10,44.9,
HeatedBlanket,FALSE,1/1/00 0:04:15,2,
HeatedBlanket,FALSE,1/1/00 0:04:20,46.3,
HeatedBlanket,FALSE,1/1/00 0:04:25,2,
HeatedBlanket,FALSE,1/1/00 0:04:30,47.8,
HeatedBlanket,FALSE,1/1/00 0:04:35,48.6,
HeatedBlanket,FALSE,1/1/00 0:04:40,1229,
HeatedBlanket,FALSE,1/1/00 0:04:45,0,
HeatedBlanket,FALSE,1/1/00 0:04:50,50.6,
HeatedBlanket,FALSE,1/1/00 0:04:55,0,
HeatedBlanket,FALSE,1/1/00 0:05:00,59.6,
HeatedBlanket,FALSE,1/1/00 0:05:05,7,
HeatedBlanket,FALSE,1/1/00 0:05:10,113.4,
HeatedBlanket,FALSE,1/1/00 0:05:15,60,
HeatedBlanket,FALSE,1/1/00 0:05:20,6,
HeatedBlanket,FALSE,1/1/00 0:05:25,6,
HeatedBlanket,FALSE,1/1/00 0:05:30,116.8,
HeatedBlanket,FALSE,1/1/00 0:05:35,2.7,
HeatedBlanket,FALSE,1/1/00 0:05:40,2.2,
HeatedBlanket,FALSE,1/1/00 0:05:45,3,
HeatedBlanket,FALSE,1/1/00 0:05:50,2,
HeatedBlanket,FALSE,1/1/00 0:05:55,0,
HeatedBlanket,FALSE,1/1/00 0:06:00,1,
HeatedBlanket,FALSE,1/1/00 0:06:05,1.4,
HeatedBlanket,FALSE,1/1/00 0:06:10,61.8,
HeatedBlanket,FALSE,1/1/00 0:06:15,0,
HeatedBlanket,FALSE,1/1/00 0:06:20,63.4,
