Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 01/21  01:00:00,-6.5,18.567694715518584,-4.919777486258169,25160441.836067416,2519341.8750856025,2519341.8750856025,2519341.8750856025,22450856.05991178,0.0 
 01/21  02:00:00,-6.5,18.44197879113273,-4.928174405689606,24941585.587540153,2300485.626558334,2300485.626558334,2300485.626558334,22450856.05991178,0.0 
 01/21  03:00:00,-6.5,18.344942761766877,-4.935066452452939,24867700.053602282,2226600.0926204654,2226600.0926204654,2226600.0926204654,22450856.05991178,0.0 
 01/21  04:00:00,-6.5,18.269213992127913,-4.94065394123021,24812840.36807589,2171740.4070940726,2171740.4070940726,2171740.4070940726,22450856.05991178,0.0 
 01/21  05:00:00,-6.5,18.224953328364634,-4.944576412835934,26644139.619653743,2335718.210080423,2335718.210080423,2335718.210080423,22450856.05991178,1663037.1783349896 
 01/21  06:00:00,-6.5,18.241046716837953,-4.945063106657944,25554457.56752246,2902111.397117286,2902111.397117286,2902111.397117286,22450856.05991178,0.0 
 01/21  07:00:00,-6.5,18.295723015029825,-4.942393586871964,27757926.462328058,3490045.529346395,3490045.529346395,3490045.529346395,22450856.05991178,1802029.927172079 
 01/21  08:00:00,-6.5,18.328509417404515,-4.93998603416352,28182960.29079403,3872409.4070758065,3872409.4070758065,3872409.4070758065,22450856.05991178,1846306.4792548364 
 01/21  09:00:00,-6.5,18.206193900064864,-4.945165776942186,29612818.246010385,3436548.288166884,3436548.288166884,3436548.288166884,22450856.05991178,3719523.0263290163 
 01/21  10:00:00,-6.5,18.060200615580126,-4.954843798535033,27590370.06853412,3287629.4627914913,3287629.4627914913,3287629.4627914913,22450856.05991178,1847868.0424653685 
 01/21  11:00:00,-6.5,17.967048254926905,-4.961821841661315,27635311.032622788,3359522.254572048,3359522.254572048,3359522.254572048,22450856.05991178,1820916.2147734743 
 01/21  12:00:00,-6.5,17.90428643560543,-4.9664167186723205,27653121.85867361,3405817.7973429887,3405817.7973429887,3405817.7973429887,22450856.05991178,1792431.4980533589 
 01/21  13:00:00,-6.5,17.855154097687716,-4.970083547528064,27569652.743322898,3343416.5845005065,3343416.5845005065,3343416.5845005065,22450856.05991178,1771363.595545127 
 01/21  14:00:00,-6.5,17.81751556642408,-4.973048744818745,27489166.409064136,3277253.218523652,3277253.218523652,3277253.218523652,22450856.05991178,1757040.6272632212 
 01/21  15:00:00,-6.5,17.791388682176414,-4.97526984943361,27471552.475142702,3272159.2094632606,3272159.2094632606,3272159.2094632606,22450856.05991178,1744520.702402182 
 01/21  16:00:00,-6.5,17.791901733212516,-4.976029333105294,26007175.551847663,3549357.552769049,3549357.552769049,3549357.552769049,22450856.05991178,0.0 
 01/21  17:00:00,-6.5,17.875887798655253,-4.972352072255856,28698882.734420177,4479188.816479392,4479188.816479392,4479188.816479392,22450856.05991178,1753842.9121312075 
 01/21  18:00:00,-6.5,18.0884626472718,-4.9605973641242755,29874263.34667597,5624286.233621349,5624286.233621349,5624286.233621349,22450856.05991178,1778235.235642335 
 01/21  19:00:00,-6.5,18.380041797282583,-4.9424640676477845,30518789.732626826,6045788.3062472865,6045788.3062472865,6045788.3062472865,22450856.05991178,1805928.0769676042 
 01/21  20:00:00,-6.5,18.59604929632215,-4.926560435210001,30454330.720171083,5971945.160957614,5971945.160957614,5971945.160957614,22450856.05991178,1812269.404221621 
 01/21  21:00:00,-6.5,18.74855678474579,-4.915262607631816,30366948.922295596,5899533.255808762,5899533.255808762,5899533.255808762,22450856.05991178,1797299.5114949842 
 01/21  22:00:00,-6.5,18.841281527388755,-4.907451343732229,29824811.49642204,5386254.039457358,5386254.039457358,5386254.039457358,22450856.05991178,1776036.144700293 
 01/21  23:00:00,-6.5,18.814360617082478,-4.906353579806223,28653862.695150647,4262786.538241955,4262786.538241955,4262786.538241955,22450856.05991178,1738997.7533945562 
 01/21  24:00:00,-6.5,18.706486929664823,-4.911596637739552,25920940.716639366,3276627.552965166,3276627.552965166,3276627.552965166,22450856.05991178,0.0 
 08/21  01:00:00,28.595,23.88840498525469,27.75832434028618,5817152.470286378,2519341.8750856025,2519341.8750856025,2519341.8750856025,3107566.694130736,0.0 
 08/21  02:00:00,28.063333333333333,23.888540710000928,27.25041364062578,5218757.8043836085,2300485.626558334,2300485.626558334,2300485.626558334,2728028.276755236,0.0 
 08/21  03:00:00,27.6875,23.888614732062678,26.883500952672918,4880700.6799399555,2226600.0926204654,2226600.0926204654,2226600.0926204654,2463856.6862494526,0.0 
 08/21  04:00:00,27.357499999999998,23.888564139319417,26.571120423329972,4618394.565155325,2171740.4070940726,2171740.4070940726,2171740.4070940726,2256410.256991215,0.0 
 08/21  05:00:00,27.091666666666665,23.888634144143698,26.309650926216705,4655779.653241576,2335718.210080423,2335718.210080423,2335718.210080423,2125533.2718346003,0.0 
 08/21  06:00:00,27.128333333333334,23.889032155850675,26.2849011010441,6920247.332622973,2902111.397117286,2902111.397117286,2902111.397117286,2142277.0912494613,1674368.733762836 
