Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 01/21  01:00:00,25160441.836067416,2519341.8750856025,2519341.8750856025,2519341.8750856025,22450856.05991178,0.0 
 01/21  02:00:00,24941585.587540153,2300485.626558334,2300485.626558334,2300485.626558334,22450856.05991178,0.0 
 01/21  03:00:00,24867700.053602282,2226600.0926204654,2226600.0926204654,2226600.0926204654,22450856.05991178,0.0 
 01/21  04:00:00,24812840.36807589,2171740.4070940726,2171740.4070940726,2171740.4070940726,22450856.05991178,0.0 
 01/21  05:00:00,26644139.619653743,2335718.210080423,2335718.210080423,2335718.210080423,22450856.05991178,1663037.1783349896 
 01/21  06:00:00,25554457.56752246,2902111.397117286,2902111.397117286,2902111.397117286,22450856.05991178,0.0 
 01/21  07:00:00,27757926.462328058,3490045.529346395,3490045.529346395,3490045.529346395,22450856.05991178,1802029.927172079 
 01/21  08:00:00,28182960.29079403,3872409.4070758065,3872409.4070758065,3872409.4070758065,22450856.05991178,1846306.4792548364 
 01/21  09:00:00,29612818.246010385,3436548.288166884,3436548.288166884,3436548.288166884,22450856.05991178,3719523.0263290163 
 01/21  10:00:00,27590370.06853412,3287629.4627914913,3287629.4627914913,3287629.4627914913,22450856.05991178,1847868.0424653685 
 01/21  11:00:00,27635311.032622788,3359522.254572048,3359522.254572048,3359522.254572048,22450856.05991178,1820916.2147734743 
 01/21  12:00:00,27653121.85867361,3405817.7973429887,3405817.7973429887,3405817.7973429887,22450856.05991178,1792431.4980533589 
 01/21  13:00:00,27569652.743322898,3343416.5845005065,3343416.5845005065,3343416.5845005065,22450856.05991178,1771363.595545127 
 01/21  14:00:00,27489166.409064136,3277253.218523652,3277253.218523652,3277253.218523652,22450856.05991178,1757040.6272632212 
 01/21  15:00:00,27471552.475142702,3272159.2094632606,3272159.2094632606,3272159.2094632606,22450856.05991178,1744520.702402182 
 01/21  16:00:00,26007175.551847663,3549357.552769049,3549357.552769049,3549357.552769049,22450856.05991178,0.0 
 01/21  17:00:00,28698882.734420177,4479188.816479392,4479188.816479392,4479188.816479392,22450856.05991178,1753842.9121312075 
 01/21  18:00:00,29874263.34667597,5624286.233621349,5624286.233621349,5624286.233621349,22450856.05991178,1778235.235642335 
 01/21  19:00:00,30518789.732626826,6045788.3062472865,6045788.3062472865,6045788.3062472865,22450856.05991178,1805928.0769676042 
 01/21  20:00:00,30454330.720171083,5971945.160957614,5971945.160957614,5971945.160957614,22450856.05991178,1812269.404221621 
 01/21  21:00:00,30366948.922295596,5899533.255808762,5899533.255808762,5899533.255808762,22450856.05991178,1797299.5114949842 
