Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.665653E-01,5.614296E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.095210E+02,1.560752E-01,2.031691E+03,2.761445E+03
00:20:00,1.672899E-01,5.634526E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.132147E+02,1.514128E-01,1.972304E+03,2.695539E+03
00:30:00,1.679992E-01,5.654329E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.169084E+02,1.468866E-01,1.914543E+03,2.631239E+03
00:40:00,1.686970E-01,5.673811E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.206021E+02,1.424843E-01,1.858263E+03,2.568506E+03
00:50:00,1.693857E-01,5.693040E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.242957E+02,1.381980E-01,1.803368E+03,2.507206E+03
01:00:00,1.700673E-01,5.712067E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.279894E+02,1.340200E-01,1.749768E+03,2.447179E+03
01:10:00,1.705712E-01,5.726137E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.304519E+02,1.303689E-01,1.703691E+03,2.395826E+03
01:20:00,1.710095E-01,5.738374E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.329143E+02,1.269598E-01,1.660506E+03,2.347604E+03
01:30:00,1.714055E-01,5.749432E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.353768E+02,1.237401E-01,1.619583E+03,2.301853E+03
01:40:00,1.717678E-01,5.759546E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.378392E+02,1.206930E-01,1.580721E+03,2.258419E+03
01:50:00,1.721028E-01,5.768898E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.403017E+02,1.178017E-01,1.543722E+03,2.217096E+03
02:00:00,1.724153E-01,5.777622E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.427641E+02,1.150551E-01,1.508450E+03,2.177715E+03
02:10:00,1.726653E-01,5.784601E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.446109E+02,1.125349E-01,1.476498E+03,2.142138E+03
02:20:00,1.728818E-01,5.790648E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.464578E+02,1.101576E-01,1.446253E+03,2.108386E+03
02:30:00,1.730737E-01,5.796004E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.483046E+02,1.078950E-01,1.417379E+03,2.076097E+03
02:40:00,1.732456E-01,5.800803E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.501515E+02,1.057374E-01,1.389758E+03,2.045157E+03
02:50:00,1.734010E-01,5.805142E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.519983E+02,1.036765E-01,1.363292E+03,2.015467E+03
03:00:00,1.735427E-01,5.809098E+03,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.538451E+02,1.017067E-01,1.337916E+03,1.986955E+03
