Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 01/21  01:00:00,-6.5,22.220044576460086,-4.307385980364683,30100086.27119138,2519341.8750856025,2519341.8750856025,2519341.8750856025,27390500.495035738,0.0 
 01/21  02:00:00,-6.5,22.220052828784805,-4.307751495301799,30192447.416245744,2300485.626558334,2300485.626558334,2300485.626558334,27701717.888617374,0.0 
 01/21  03:00:00,-6.5,22.220056888742317,-4.308154122746541,30269188.047343083,2226600.0926204654,2226600.0926204654,2226600.0926204654,27852344.053652585,0.0 
 01/21  04:00:00,-6.5,22.220058558618515,-4.308522695319106,30300766.70946701,2171740.4070940726,2171740.4070940726,2171740.4070940726,27938782.401302896,0.0 
 01/21  05:00:00,-6.5,22.220060943493838,-4.308804594683926,31316603.258710943,2335718.210080423,2335718.210080423,2335718.210080423,27889241.02207908,897115.8552248861 
 01/21  06:00:00,-6.5,22.220063481856354,-4.30903159190785,31461482.14304524,2902111.397117286,2902111.397117286,2902111.397117286,27572761.45690017,785119.1785343933 
 01/21  07:00:00,-6.5,22.220059115181453,-4.309101320155066,32551141.597614907,3490045.529346395,3490045.529346395,3490045.529346395,27245872.53583957,1800228.5865311401 
 01/21  08:00:00,-6.5,22.220051688458252,-4.309025317869458,32901779.188882105,3872409.4070758065,3872409.4070758065,3872409.4070758065,27171818.561560005,1844162.8756946805 
 01/21  09:00:00,-6.5,22.220040420247788,-4.30902904407088,35074616.146843925,3436548.288166884,3436548.288166884,3436548.288166884,27916252.25166603,3715924.735408308 
 01/21  10:00:00,-6.5,22.220051120332272,-4.30923835523241,33461551.44513586,3287629.4627914913,3287629.4627914913,3287629.4627914913,28324326.76628285,1845578.7126960384 
 01/21  11:00:00,-6.5,22.22005817678858,-4.309460923971071,33575069.54678043,3359522.254572048,3359522.254572048,3359522.254572048,28392766.143473953,1818764.6453689435 
 01/21  12:00:00,-6.5,22.220058586872742,-4.309628310773767,33619589.65263105,3405817.7973429887,3405817.7973429887,3405817.7973429887,28419123.709675647,1790631.6422469378 
 01/21  13:00:00,-6.5,22.220058586095774,-4.3097437919926,33557157.82472522,3343416.5845005065,3343416.5845005065,3343416.5845005065,28440599.113057546,1769125.6238016852 
 01/21  14:00:00,-6.5,22.22005924654005,-4.309836258922716,33480983.462117925,3277253.218523652,3277253.218523652,3277253.218523652,28444483.3778368,1755230.362391989 
 01/21  15:00:00,-6.5,22.220059682259578,-4.309921765370471,32014605.986714743,3272159.2094632606,3272159.2094632606,3272159.2094632606,28426536.699786905,311893.5740990943 
 01/21  16:00:00,-6.5,22.2200608329852,-4.309969063537911,33265442.01951646,3549357.552769049,3549357.552769049,3549357.552769049,28283038.263351772,1426084.2642287975 
 01/21  17:00:00,-6.5,22.220062724984828,-4.309889839164337,33984212.365511976,4479188.816479392,4479188.816479392,4479188.816479392,27737751.957966894,1752276.6451678916 
 01/21  18:00:00,-6.5,22.220058608371527,-4.309514828409231,34212949.37104,5624286.233621349,5624286.233621349,5624286.233621349,26791219.598758586,1776557.7211595566 
 01/21  19:00:00,-6.5,22.220050701069827,-4.30882493966921,33911581.43296579,6045788.3062472865,6045788.3062472865,6045788.3062472865,25845449.068617873,1804126.7686004755 
 01/21  20:00:00,-6.5,22.220038609299966,-4.308166496719984,33555382.6168825,5971945.160957614,5971945.160957614,5971945.160957614,25553699.1381527,1810478.222692121 
 01/21  21:00:00,-6.5,22.22003649123747,-4.307737849656001,33359461.366864286,5899533.255808762,5899533.255808762,5899533.255808762,25445027.342495717,1795640.6734797354 
 01/21  22:00:00,-6.5,22.22003338635582,-4.307395191744541,32934392.611959465,5386254.039457358,5386254.039457358,5386254.039457358,25561896.957382,1774576.3627674843 
 01/21  23:00:00,-6.5,22.2200298060162,-4.307170620778677,32371110.22225202,4262786.538241955,4262786.538241955,4262786.538241955,26169685.446903396,1737415.8935043116 
 01/21  24:00:00,-6.5,22.22003643006951,-4.3071704765769985,30299705.575174626,3276627.552965166,3276627.552965166,3276627.552965166,26829620.918447033,0.0 
 08/21  01:00:00,28.595,23.888404985254656,27.758324340286492,5817152.470283794,2519341.8750856025,2519341.8750856025,2519341.8750856025,3107566.6941281534,0.0 
 08/21  02:00:00,28.063333333333333,23.888540710000928,27.25041364062598,5218757.804381809,2300485.626558334,2300485.626558334,2300485.626558334,2728028.2767534377,0.0 
 08/21  03:00:00,27.6875,23.888614732062564,26.883500952673156,4880700.679939045,2226600.0926204654,2226600.0926204654,2226600.0926204654,2463856.6862485413,0.0 
 08/21  04:00:00,27.357499999999998,23.888564139319403,26.571120423330104,4618394.565154765,2171740.4070940726,2171740.4070940726,2171740.4070940726,2256410.2569906544,0.0 
 08/21  05:00:00,27.091666666666665,23.88863414414371,26.30965092621685,4655779.653240971,2335718.210080423,2335718.210080423,2335718.210080423,2125533.271833996,0.0 
 08/21  06:00:00,27.128333333333334,23.88903215585066,26.28490110104417,6920247.332622566,2902111.397117286,2902111.397117286,2902111.397117286,2142277.091249049,1674368.7337628424 
 08/21  07:00:00,27.66916666666667,23.889434223404933,26.854455931219178,6219437.880974773,3490045.529346395,3490045.529346395,3490045.529346395,2714397.4057305767,0.0 
 08/21  08:00:00,29.080833333333334,23.8889558477594,28.68493709993031,9357839.428108338,3872409.4070758065,3872409.4070758065,3872409.4070758065,3726025.317727738,1746016.3587531848 
 08/21  09:00:00,31.079166666666666,23.888951514470268,31.66655375427412,9695800.868006455,3436548.288166884,3436548.288166884,3436548.288166884,4498750.080889021,1754611.6273478419 
 08/21  10:00:00,33.04083333333333,23.889346546519842,34.8360157012676,9447699.561891,3287629.4627914913,3287629.4627914913,3287629.4627914913,5316613.845450377,839439.7502836505 
 08/21  11:00:00,34.782500000000006,23.889329377216573,37.61768185641295,10385235.721112683,3359522.254572048,3359522.254572048,3359522.254572048,6118472.381357823,903224.58181733 
 08/21  12:00:00,36.11166666666667,23.89304024231667,39.73291297093282,11821705.527679589,3405817.7973429887,3405817.7973429887,3405817.7973429887,6689984.946629157,1721886.2803419589 
 08/21  13:00:00,37.083333333333336,24.01860416014172,41.120778865442354,10231751.458346609,3343416.5845005065,3343416.5845005065,3343416.5845005065,6884318.37048062,0.0 
 08/21  14:00:00,37.770833333333336,24.4049084489797,41.841577958623475,11925015.948904615,3277253.218523652,3277253.218523652,3277253.218523652,6940684.2945551695,1703061.9324603109 
 08/21  15:00:00,38.0,24.907425420652075,41.789273709406615,10248670.280334782,3272159.2094632606,3272159.2094632606,3272159.2094632606,6972494.567506039,0.0 
 08/21  16:00:00,37.615,25.32931913922764,40.81200980961492,12211274.096524244,3549357.552769049,3549357.552769049,3549357.552769049,6962764.04429757,1692190.5602907895 
 08/21  17:00:00,36.82666666666667,25.57792040030655,39.07812338081203,11413781.963035414,4479188.816479392,4479188.816479392,4479188.816479392,6919598.200658221,0.0 
 08/21  18:00:00,35.818333333333335,25.62774051552643,36.86536805964991,14212908.449391657,5624286.233621349,5624286.233621349,5624286.233621349,6855551.071226219,1712185.32704358 
 08/21  19:00:00,34.3975,25.293007360840864,34.286247158901766,13594678.670183305,6045788.3062472865,6045788.3062472865,6045788.3062472865,6753332.914745231,579340.1596906267 
 08/21  20:00:00,33.00416666666666,24.508292750564845,32.08353693411114,13977922.133151773,5971945.160957614,5971945.160957614,5971945.160957614,6636584.223941332,1150132.6531727565 
 08/21  21:00:00,31.9225,23.93529385598985,30.776537642589833,14028323.88774903,5899533.255808762,5899533.255808762,5899533.255808762,6186197.089481937,1723333.4473782608 
 08/21  22:00:00,30.9325,23.889520170036075,29.867581673882636,10742487.81340298,5386254.039457358,5386254.039457358,5386254.039457358,5144568.521593007,0.0 
 08/21  23:00:00,30.07083333333333,23.888640527372697,29.089257942764856,10477219.19865609,4262786.538241955,4262786.538241955,4262786.538241955,4321085.839846869,1692124.4769649068 
 08/21  24:00:00,29.30083333333333,23.888452203596056,28.4000419468944,7121458.722865741,3276627.552965166,3276627.552965166,3276627.552965166,3651374.06613815,0.0 
 02/01  01:00:00,5.316666666666666,22.222323829805504,8.025038481841799,12011415.937202502,2498479.0097388276,2498479.0097388276,2498479.0097388276,9322693.026393637,0.0 
 02/01  02:00:00,3.608333333333333,22.22241861230862,6.143008844845707,14294097.102103751,2287908.203727021,2287908.203727021,2287908.203727021,11815944.997306693,0.0 
 02/01  03:00:00,3.4,22.222428956448766,5.586101209302865,15180669.444203556,2218387.455766968,2218387.455766968,2218387.455766968,12772038.08736655,0.0 
 02/01  04:00:00,3.4,22.222415281659448,5.385565050742733,16014341.502978392,2167160.80380385,2167160.80380385,2167160.80380385,13656936.798104504,0.0 
 02/01  05:00:00,3.108333333333333,22.222407199473015,4.925948580503877,17225459.14131002,2326991.86639299,2326991.86639299,2326991.86639299,14703939.103590477,0.0 
 02/01  06:00:00,2.5500000000000003,22.22241179738496,4.411461535024376,19871883.970195673,2888368.680950925,2888368.680950925,2888368.680950925,15076920.994203966,1705104.1845473927 
 02/01  07:00:00,2.0083333333333333,22.222413493802744,4.04381552008252,20493787.157755796,3455726.295687276,3455726.295687276,3455726.295687276,15226277.988633983,1796787.927536733 
 02/01  08:00:00,1.8,22.250867359507193,3.572549729621663,12488724.600735543,3804342.957438114,3804342.957438114,3804342.957438114,6834316.218202396,1836677.0805434277 
 02/01  09:00:00,3.025,22.222426402641343,6.683316804794077,11808903.768853443,3331560.1762823085,3331560.1762823085,3331560.1762823085,5848479.944036655,2622972.7769317715 
 02/01  10:00:00,4.95,22.22236200282046,9.795367091463156,10350806.405342469,3145052.4172653225,3145052.4172653225,3145052.4172653225,4310148.688967267,2891588.7957443977 
 02/01  11:00:00,7.2749999999999995,22.192902195858466,12.273289106278552,6796863.114949983,3201316.809840188,3201316.809840188,3201316.809840188,1786121.1279020184,1805408.6738422934 
 02/01  12:00:00,8.983333333333333,22.20616558826765,14.750271066082048,5334213.877690647,3245056.7517732778,3245056.7517732778,3245056.7517732778,306019.6891586396,1779120.9333932465 
 02/01  13:00:00,11.091666666666669,22.370037397604772,16.72930516417648,4759048.916244803,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,1403457.2999306738 
 02/01  14:00:00,13.233333333333334,22.796134540996814,17.23430974749218,3654460.9738734695,3143544.016284607,3143544.016284607,3143544.016284607,154285.71428571438,352614.7399376656 
 02/01  15:00:00,14.191666666666668,23.33370005692089,18.315770501543685,5045345.526720776,3152610.4832543777,3152610.4832543777,3152610.4832543777,154285.71428571438,1734432.8258152017 
