Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 01/21  01:00:00,30100086.27119138,2519341.8750856025,2519341.8750856025,2519341.8750856025,27390500.495035738,0.0 
 01/21  02:00:00,30192447.416245744,2300485.626558334,2300485.626558334,2300485.626558334,27701717.888617374,0.0 
 01/21  03:00:00,30269188.047343083,2226600.0926204654,2226600.0926204654,2226600.0926204654,27852344.053652585,0.0 
 01/21  04:00:00,30300766.70946701,2171740.4070940726,2171740.4070940726,2171740.4070940726,27938782.401302896,0.0 
 01/21  05:00:00,31316603.258710943,2335718.210080423,2335718.210080423,2335718.210080423,27889241.02207908,897115.8552248861 
 01/21  06:00:00,31461482.14304524,2902111.397117286,2902111.397117286,2902111.397117286,27572761.45690017,785119.1785343933 
 01/21  07:00:00,32551141.597614907,3490045.529346395,3490045.529346395,3490045.529346395,27245872.53583957,1800228.5865311401 
 01/21  08:00:00,32901779.188882105,3872409.4070758065,3872409.4070758065,3872409.4070758065,27171818.561560005,1844162.8756946805 
 01/21  09:00:00,35074616.146843925,3436548.288166884,3436548.288166884,3436548.288166884,27916252.25166603,3715924.735408308 
 01/21  10:00:00,33461551.44513586,3287629.4627914913,3287629.4627914913,3287629.4627914913,28324326.76628285,1845578.7126960384 
 01/21  11:00:00,33575069.54678043,3359522.254572048,3359522.254572048,3359522.254572048,28392766.143473953,1818764.6453689435 
 01/21  12:00:00,33619589.65263105,3405817.7973429887,3405817.7973429887,3405817.7973429887,28419123.709675647,1790631.6422469378 
 01/21  13:00:00,33557157.82472522,3343416.5845005065,3343416.5845005065,3343416.5845005065,28440599.113057546,1769125.6238016852 
 01/21  14:00:00,33480983.462117925,3277253.218523652,3277253.218523652,3277253.218523652,28444483.3778368,1755230.362391989 
 01/21  15:00:00,32014605.986714743,3272159.2094632606,3272159.2094632606,3272159.2094632606,28426536.699786905,311893.5740990943 
 01/21  16:00:00,33265442.01951646,3549357.552769049,3549357.552769049,3549357.552769049,28283038.263351772,1426084.2642287975 
 01/21  17:00:00,33984212.365511976,4479188.816479392,4479188.816479392,4479188.816479392,27737751.957966894,1752276.6451678916 
 01/21  18:00:00,34212949.37104,5624286.233621349,5624286.233621349,5624286.233621349,26791219.598758586,1776557.7211595566 
 01/21  19:00:00,33911581.43296579,6045788.3062472865,6045788.3062472865,6045788.3062472865,25845449.068617873,1804126.7686004755 
 01/21  20:00:00,33555382.6168825,5971945.160957614,5971945.160957614,5971945.160957614,25553699.1381527,1810478.222692121 
 01/21  21:00:00,33359461.366864286,5899533.255808762,5899533.255808762,5899533.255808762,25445027.342495717,1795640.6734797354 
 01/21  22:00:00,32934392.611959465,5386254.039457358,5386254.039457358,5386254.039457358,25561896.957382,1774576.3627674843 
 01/21  23:00:00,32371110.22225202,4262786.538241955,4262786.538241955,4262786.538241955,26169685.446903396,1737415.8935043116 
 01/21  24:00:00,30299705.575174626,3276627.552965166,3276627.552965166,3276627.552965166,26829620.918447033,0.0 
 08/21  01:00:00,5817152.470283794,2519341.8750856025,2519341.8750856025,2519341.8750856025,3107566.6941281534,0.0 
 08/21  02:00:00,5218757.804381809,2300485.626558334,2300485.626558334,2300485.626558334,2728028.2767534377,0.0 
 08/21  03:00:00,4880700.679939045,2226600.0926204654,2226600.0926204654,2226600.0926204654,2463856.6862485413,0.0 
 08/21  04:00:00,4618394.565154765,2171740.4070940726,2171740.4070940726,2171740.4070940726,2256410.2569906544,0.0 
 08/21  05:00:00,4655779.653240971,2335718.210080423,2335718.210080423,2335718.210080423,2125533.271833996,0.0 
 08/21  06:00:00,6920247.332622566,2902111.397117286,2902111.397117286,2902111.397117286,2142277.091249049,1674368.7337628424 
 08/21  07:00:00,6219437.880974773,3490045.529346395,3490045.529346395,3490045.529346395,2714397.4057305767,0.0 
 08/21  08:00:00,9357839.428108338,3872409.4070758065,3872409.4070758065,3872409.4070758065,3726025.317727738,1746016.3587531848 
 08/21  09:00:00,9695800.868006455,3436548.288166884,3436548.288166884,3436548.288166884,4498750.080889021,1754611.6273478419 
 08/21  10:00:00,9447699.561891,3287629.4627914913,3287629.4627914913,3287629.4627914913,5316613.845450377,839439.7502836505 
 08/21  11:00:00,10385235.721112683,3359522.254572048,3359522.254572048,3359522.254572048,6118472.381357823,903224.58181733 
 08/21  12:00:00,11821705.527679589,3405817.7973429887,3405817.7973429887,3405817.7973429887,6689984.946629157,1721886.2803419589 
 08/21  13:00:00,10231751.458346609,3343416.5845005065,3343416.5845005065,3343416.5845005065,6884318.37048062,0.0 
 08/21  14:00:00,11925015.948904615,3277253.218523652,3277253.218523652,3277253.218523652,6940684.2945551695,1703061.9324603109 
 08/21  15:00:00,10248670.280334782,3272159.2094632606,3272159.2094632606,3272159.2094632606,6972494.567506039,0.0 
 08/21  16:00:00,12211274.096524244,3549357.552769049,3549357.552769049,3549357.552769049,6962764.04429757,1692190.5602907895 
 08/21  17:00:00,11413781.963035414,4479188.816479392,4479188.816479392,4479188.816479392,6919598.200658221,0.0 
 08/21  18:00:00,14212908.449391657,5624286.233621349,5624286.233621349,5624286.233621349,6855551.071226219,1712185.32704358 
 08/21  19:00:00,13594678.670183305,6045788.3062472865,6045788.3062472865,6045788.3062472865,6753332.914745231,579340.1596906267 
 08/21  20:00:00,13977922.133151773,5971945.160957614,5971945.160957614,5971945.160957614,6636584.223941332,1150132.6531727565 
 08/21  21:00:00,14028323.88774903,5899533.255808762,5899533.255808762,5899533.255808762,6186197.089481937,1723333.4473782608 
 08/21  22:00:00,10742487.81340298,5386254.039457358,5386254.039457358,5386254.039457358,5144568.521593007,0.0 
 08/21  23:00:00,10477219.19865609,4262786.538241955,4262786.538241955,4262786.538241955,4321085.839846869,1692124.4769649068 
 08/21  24:00:00,7121458.722865741,3276627.552965166,3276627.552965166,3276627.552965166,3651374.06613815,0.0 
 02/01  01:00:00,12011415.937202502,2498479.0097388276,2498479.0097388276,2498479.0097388276,9322693.026393637,0.0 
 02/01  02:00:00,14294097.102103751,2287908.203727021,2287908.203727021,2287908.203727021,11815944.997306693,0.0 
 02/01  03:00:00,15180669.444203556,2218387.455766968,2218387.455766968,2218387.455766968,12772038.08736655,0.0 
 02/01  04:00:00,16014341.502978392,2167160.80380385,2167160.80380385,2167160.80380385,13656936.798104504,0.0 
 02/01  05:00:00,17225459.14131002,2326991.86639299,2326991.86639299,2326991.86639299,14703939.103590477,0.0 
 02/01  06:00:00,19871883.970195673,2888368.680950925,2888368.680950925,2888368.680950925,15076920.994203966,1705104.1845473927 
 02/01  07:00:00,20493787.157755796,3455726.295687276,3455726.295687276,3455726.295687276,15226277.988633983,1796787.927536733 
 02/01  08:00:00,12488724.600735543,3804342.957438114,3804342.957438114,3804342.957438114,6834316.218202396,1836677.0805434277 
 02/01  09:00:00,11808903.768853443,3331560.1762823085,3331560.1762823085,3331560.1762823085,5848479.944036655,2622972.7769317715 
 02/01  10:00:00,10350806.405342469,3145052.4172653225,3145052.4172653225,3145052.4172653225,4310148.688967267,2891588.7957443977 
 02/01  11:00:00,6796863.114949983,3201316.809840188,3201316.809840188,3201316.809840188,1786121.1279020184,1805408.6738422934 
