Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 01/21  01:00:00,30100086.116321698,2519341.8750856025,2519341.8750856025,2519341.8750856025,27390500.340166062,0.0 
 01/21  02:00:00,30192447.259528846,2300485.626558334,2300485.626558334,2300485.626558334,27701717.73190047,0.0 
 01/21  03:00:00,30269187.8897369,2226600.0926204654,2226600.0926204654,2226600.0926204654,27852343.8960464,0.0 
 01/21  04:00:00,30300766.55134533,2171740.4070940726,2171740.4070940726,2171740.4070940726,27938782.243181217,0.0 
 01/21  05:00:00,31316603.10080392,2335718.210080423,2335718.210080423,2335718.210080423,27889240.864249893,897115.8551470496 
 01/21  06:00:00,31461481.98717679,2902111.397117286,2902111.397117286,2902111.397117286,27572761.300951798,785119.1786143141 
 01/21  07:00:00,32551141.44360304,3490045.529346395,3490045.529346395,3490045.529346395,27245872.381827734,1800228.5865311148 
 01/21  08:00:00,32901779.03531629,3872409.4070758065,3872409.4070758065,3872409.4070758065,27171818.40799422,1844162.8756946493 
 01/21  09:00:00,35074615.988865,3436548.288166884,3436548.288166884,3436548.288166884,27916252.093687214,3715924.7354082037 
 01/21  10:00:00,33461551.284719568,3287629.4627914913,3287629.4627914913,3287629.4627914913,28324326.605866596,1845578.7126959981 
 01/21  11:00:00,33575069.38594553,3359522.254572048,3359522.254572048,3359522.254572048,28392765.982639097,1818764.6453688992 
 01/21  12:00:00,33619589.49164282,3405817.7973429887,3405817.7973429887,3405817.7973429887,28419123.54868749,1790631.6422468568 
 01/21  13:00:00,33557157.663626045,3343416.5845005065,3343416.5845005065,3343416.5845005065,28440598.95195837,1769125.6238016847 
 01/21  14:00:00,33480983.300998494,3277253.218523652,3277253.218523652,3277253.218523652,28444483.216717333,1755230.3623920304 
 01/21  15:00:00,32014605.825602613,3272159.2094632606,3272159.2094632606,3272159.2094632606,28426536.53877621,311893.5739976637 
 01/21  16:00:00,33265441.859461848,3549357.552769049,3549357.552769049,3549357.552769049,28283038.103195995,1426084.2643299685 
 01/21  17:00:00,33984212.2085874,4479188.816479392,4479188.816479392,4479188.816479392,27737751.801042356,1752276.6451678472 
 01/21  18:00:00,34212949.2197391,5624286.233621349,5624286.233621349,5624286.233621349,26791219.44745773,1776557.7211595166 
 01/21  19:00:00,33911581.287285,6045788.3062472865,6045788.3062472865,6045788.3062472865,25845448.922937114,1804126.7686004385 
 01/21  20:00:00,33555382.47293849,5971945.160957614,5971945.160957614,5971945.160957614,25553698.99420874,1810478.2226920738 
 01/21  21:00:00,33359461.22354567,5899533.255808762,5899533.255808762,5899533.255808762,25445027.199177142,1795640.6734796972 
 01/21  22:00:00,32934392.46793121,5386254.039457358,5386254.039457358,5386254.039457358,25561896.81335377,1774576.3627674738 
 01/21  23:00:00,32371110.074613504,4262786.538241955,4262786.538241955,4262786.538241955,26169685.299264915,1737415.8935042764 
 01/21  24:00:00,30299705.423622083,3276627.552965166,3276627.552965166,3276627.552965166,26829620.766894493,0.0 
 08/21  01:00:00,5817152.470283794,2519341.8750856025,2519341.8750856025,2519341.8750856025,3107566.6941281534,0.0 
 08/21  02:00:00,5218757.804381809,2300485.626558334,2300485.626558334,2300485.626558334,2728028.2767534377,0.0 
 08/21  03:00:00,4880700.679939045,2226600.0926204654,2226600.0926204654,2226600.0926204654,2463856.6862485413,0.0 
 08/21  04:00:00,4618394.565154765,2171740.4070940726,2171740.4070940726,2171740.4070940726,2256410.2569906544,0.0 
 08/21  05:00:00,4655779.653240971,2335718.210080423,2335718.210080423,2335718.210080423,2125533.271833996,0.0 
 08/21  06:00:00,6920247.332622566,2902111.397117286,2902111.397117286,2902111.397117286,2142277.091249049,1674368.7337628424 
 08/21  07:00:00,6219437.880974773,3490045.529346395,3490045.529346395,3490045.529346395,2714397.4057305767,0.0 
 08/21  08:00:00,9357839.428108338,3872409.4070758065,3872409.4070758065,3872409.4070758065,3726025.317727738,1746016.3587531848 
 08/21  09:00:00,9695800.868006455,3436548.288166884,3436548.288166884,3436548.288166884,4498750.080889021,1754611.6273478419 
 08/21  10:00:00,9447699.561891,3287629.4627914913,3287629.4627914913,3287629.4627914913,5316613.845450377,839439.7502836505 
 08/21  11:00:00,10385235.721112683,3359522.254572048,3359522.254572048,3359522.254572048,6118472.381357823,903224.58181733 
 08/21  12:00:00,11821705.527679589,3405817.7973429887,3405817.7973429887,3405817.7973429887,6689984.946629157,1721886.2803419589 
 08/21  13:00:00,10231751.458346609,3343416.5845005065,3343416.5845005065,3343416.5845005065,6884318.37048062,0.0 
 08/21  14:00:00,11925015.948904615,3277253.218523652,3277253.218523652,3277253.218523652,6940684.2945551695,1703061.9324603109 
 08/21  15:00:00,10248670.280334782,3272159.2094632606,3272159.2094632606,3272159.2094632606,6972494.567506039,0.0 
 08/21  16:00:00,12211274.096524244,3549357.552769049,3549357.552769049,3549357.552769049,6962764.04429757,1692190.5602907895 
 08/21  17:00:00,11413781.963035414,4479188.816479392,4479188.816479392,4479188.816479392,6919598.200658221,0.0 
 08/21  18:00:00,14212908.449391657,5624286.233621349,5624286.233621349,5624286.233621349,6855551.071226219,1712185.32704358 
 08/21  19:00:00,13594678.670183305,6045788.3062472865,6045788.3062472865,6045788.3062472865,6753332.914745231,579340.1596906267 
 08/21  20:00:00,13977922.133151773,5971945.160957614,5971945.160957614,5971945.160957614,6636584.223941332,1150132.6531727565 
 08/21  21:00:00,14028323.88774903,5899533.255808762,5899533.255808762,5899533.255808762,6186197.089481937,1723333.4473782608 
 08/21  22:00:00,10742487.81340298,5386254.039457358,5386254.039457358,5386254.039457358,5144568.521593007,0.0 
 08/21  23:00:00,10477219.19865609,4262786.538241955,4262786.538241955,4262786.538241955,4321085.839846869,1692124.4769649068 
 08/21  24:00:00,7121458.722865741,3276627.552965166,3276627.552965166,3276627.552965166,3651374.06613815,0.0 
 02/01  01:00:00,12011415.910096336,2498479.0097388276,2498479.0097388276,2498479.0097388276,9322692.99928747,0.0 
 02/01  02:00:00,14294097.062897488,2287908.203727021,2287908.203727021,2287908.203727021,11815944.958100433,0.0 
 02/01  03:00:00,15180669.399866376,2218387.455766968,2218387.455766968,2218387.455766968,12772038.043029372,0.0 
 02/01  04:00:00,16014341.455491778,2167160.80380385,2167160.80380385,2167160.80380385,13656936.750617892,0.0 
 02/01  05:00:00,17225459.089776445,2326991.86639299,2326991.86639299,2326991.86639299,14703939.052056901,0.0 
 02/01  06:00:00,19871883.915931966,2888368.680950925,2888368.680950925,2888368.680950925,15076920.939940244,1705104.1845474092 
 02/01  07:00:00,20493787.101879492,3455726.295687276,3455726.295687276,3455726.295687276,15226277.932757726,1796787.9275366901 
