Time,LIVING_UNIT1:DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LIVING_UNIT1::Des Latent Heat Load [W],LIVING_UNIT1::Des Latent Cool Load [W],LIVING_UNIT1::Des Latent Heat Mass Flow [kg/s],LIVING_UNIT1::Des Latent Cool Mass Flow [kg/s],LIVING_UNIT1::Des Heat Load No DOAS [W],LIVING_UNIT1::Des Sens Cool Load No DOAS [W],LIVING_UNIT1::Des Latent Heat Load No DOAS [W],LIVING_UNIT1::Des Latent Cool Load No DOAS [W],LIVING_UNIT1:DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],LIVING_UNIT1:DALLAS FORT WORTH INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],LIVING_UNIT1:DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],LIVING_UNIT1:DALLAS FORT WORTH INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,4.718705E+03,1.891950E+03,1.665653E-01,1.560752E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221815E+01,3.956487E+01,2.388772E+01,4.740437E+01
00:20:00,4.739234E+03,1.835433E+03,1.672899E-01,1.514128E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221812E+01,3.956680E+01,2.388775E+01,4.749888E+01
00:30:00,4.759331E+03,1.780567E+03,1.679992E-01,1.468866E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221811E+01,3.956642E+01,2.388776E+01,4.759433E+01
00:40:00,4.779102E+03,1.727204E+03,1.686970E-01,1.424843E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221809E+01,3.956828E+01,2.388776E+01,4.769306E+01
00:50:00,4.798615E+03,1.675246E+03,1.693857E-01,1.381980E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221809E+01,3.957324E+01,2.388777E+01,4.779482E+01
01:00:00,4.817924E+03,1.624602E+03,1.700673E-01,1.340200E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221808E+01,3.958039E+01,2.388777E+01,4.789863E+01
01:10:00,4.832201E+03,1.580343E+03,1.705712E-01,1.303689E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221808E+01,3.958860E+01,2.388778E+01,4.800351E+01
01:20:00,4.844620E+03,1.539019E+03,1.710095E-01,1.269598E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221807E+01,3.959385E+01,2.388779E+01,4.810645E+01
01:30:00,4.855841E+03,1.499990E+03,1.714055E-01,1.237401E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221807E+01,3.959801E+01,2.388779E+01,4.820927E+01
01:40:00,4.866105E+03,1.463053E+03,1.717678E-01,1.206930E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221806E+01,3.960265E+01,2.388779E+01,4.831357E+01
01:50:00,4.875595E+03,1.428006E+03,1.721028E-01,1.178017E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221806E+01,3.960807E+01,2.388779E+01,4.841989E+01
02:00:00,4.884449E+03,1.394711E+03,1.724153E-01,1.150551E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221806E+01,3.961399E+01,2.388779E+01,4.852793E+01
02:10:00,4.891532E+03,1.364161E+03,1.726653E-01,1.125349E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221806E+01,3.962000E+01,2.388779E+01,4.863716E+01
