Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 01/21  01:00:00,30096914.93957918,2519341.8750856025,2519341.8750856025,2519341.8750856025,27387329.163423534,0.0 
 01/21  02:00:00,30189276.749219738,2300485.626558334,2300485.626558334,2300485.626558334,27698547.22159137,0.0 
 01/21  03:00:00,30266020.190124106,2226600.0926204654,2226600.0926204654,2226600.0926204654,27849176.1964336,0.0 
 01/21  04:00:00,30297601.047703292,2171740.4070940726,2171740.4070940726,2171740.4070940726,27935616.73953918,0.0 
 01/21  05:00:00,31313440.43549159,2335718.210080423,2335718.210080423,2335718.210080423,27886079.250830926,897114.80325369 
 01/21  06:00:00,31458330.350929856,2902111.397117286,2902111.397117286,2902111.397117286,27569608.584672794,785120.2586463918 
 01/21  07:00:00,32547995.992102377,3490045.529346395,3490045.529346395,3490045.529346395,27242726.93091379,1800228.585944384 
 01/21  08:00:00,32898636.35881223,3872409.4070758065,3872409.4070758065,3872409.4070758065,27168675.731920518,1844162.8752642954 
 01/21  09:00:00,35071465.63927577,3436548.288166884,3436548.288166884,3436548.288166884,27913101.745425913,3715924.7340802597 
 01/21  10:00:00,33458395.432976328,3287629.4627914913,3287629.4627914913,3287629.4627914913,28321170.754329246,1845578.7124901046 
 01/21  11:00:00,33571913.09518434,3359522.254572048,3359522.254572048,3359522.254572048,28389609.69185279,1818764.6453940214 
 01/21  12:00:00,33616433.8162946,3405817.7973429887,3405817.7973429887,3405817.7973429887,28415967.87427356,1790631.6413125724 
 01/21  13:00:00,33554002.353295438,3343416.5845005065,3343416.5845005065,3343416.5845005065,28437443.641544648,1769125.623884798 
 01/21  14:00:00,33477828.28961964,3277253.218523652,3277253.218523652,3277253.218523652,28441328.204720598,1755230.363009905 
 01/21  15:00:00,32011450.109758213,3272159.2094632606,3272159.2094632606,3272159.2094632606,28423382.182965614,311892.2139638611 
 01/21  16:00:00,33262292.679986667,3549357.552769049,3549357.552769049,3549357.552769049,28279887.567678176,1426085.6203726085 
 01/21  17:00:00,33981073.329218194,4479188.816479392,4479188.816479392,4479188.816479392,27734612.922119215,1752276.644721786 
 01/21  18:00:00,34209824.09539295,5624286.233621349,5624286.233621349,5624286.233621349,26788094.323572762,1776557.720698333 
 01/21  19:00:00,33908462.90122331,6045788.3062472865,6045788.3062472865,6045788.3062472865,25842330.537352793,1804126.7681230681 
 01/21  20:00:00,33552262.79235773,5971945.160957614,5971945.160957614,5971945.160957614,25550579.314452823,1810478.221867227 
 01/21  21:00:00,33356337.753445826,5899533.255808762,5899533.255808762,5899533.255808762,25441903.729553312,1795640.6730036796 
 01/21  22:00:00,32931258.278101865,5386254.039457358,5386254.039457358,5386254.039457358,25558762.62399268,1774576.362299214 
