Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 01/21  01:00:00,-6.5,22.220045612468112,-4.307359734706149,30096495.634598147,2519341.8750856025,2519341.8750856025,2519341.8750856025,27386909.858442508,0.0 
 01/21  02:00:00,-6.5,22.220053860495057,-4.307725271771647,30188852.446816836,2300485.626558334,2300485.626558334,2300485.626558334,27698122.91918846,0.0 
 01/21  03:00:00,-6.5,22.22005791843722,-4.308127922296901,30265593.473371603,2226600.0926204654,2226600.0926204654,2226600.0926204654,27848749.479681097,0.0 
 01/21  04:00:00,-6.5,22.220059587544323,-4.308496516269812,30297172.94802053,2171740.4070940726,2171740.4070940726,2171740.4070940726,27935188.63985642,0.0 
 01/21  05:00:00,-6.5,22.220061971170708,-4.308778432721367,31313012.921831142,2335718.210080423,2335718.210080423,2335718.210080423,27885651.94885949,897114.5915646732 
 01/21  06:00:00,-6.5,22.22006450807899,-4.309005442819374,31457908.345336106,2902111.397117286,2902111.397117286,2902111.397117286,27569186.36172695,785120.4759984853 
 01/21  07:00:00,-6.5,22.22006014348798,-4.3090751727499885,32547579.022956163,3490045.529346395,3490045.529346395,3490045.529346395,27242309.961886268,1800228.5858256938 
 01/21  08:00:00,-6.5,22.220052720389788,-4.308999163904096,32898220.593201324,3872409.4070758065,3872409.4070758065,3872409.4070758065,27168259.966397244,1844162.8751766607 
 01/21  09:00:00,-6.5,22.220041458546433,-4.309002899633344,35071037.93254356,3436548.288166884,3436548.288166884,3436548.288166884,27912674.03896188,3715924.733812097 
 01/21  10:00:00,-6.5,22.22005215291551,-4.309212246140263,33457961.12774546,3287629.4627914913,3287629.4627914913,3287629.4627914913,28320736.44913903,1845578.7124494566 
 01/21  11:00:00,-6.5,22.22005920573892,-4.309434847953731,33571477.66344817,3359522.254572048,3359522.254572048,3359522.254572048,28389174.260110497,1818764.6454001423 
 01/21  12:00:00,-6.5,22.22005961571311,-4.309602257522038,33615997.96299803,3405817.7973429887,3405817.7973429887,3405817.7973429887,28415532.021163877,1790631.641125681 
 01/21  13:00:00,-6.5,22.220059614966207,-4.309717753183179,33553566.168487128,3343416.5845005065,3343416.5845005065,3343416.5845005065,28437007.456718486,1769125.623902652 
 01/21  14:00:00,-6.5,22.220060275213058,-4.309810231028934,33477392.052970145,3277253.218523652,3277253.218523652,3277253.218523652,28440891.96794588,1755230.3631351243 
 01/21  15:00:00,-6.5,22.22006071083963,-4.309895747268292,32011013.892897293,3272159.2094632606,3272159.2094632606,3272159.2094632606,28422946.239197638,311891.94087091286 
 01/21  16:00:00,-6.5,22.220061860779953,-4.309943050812959,33261859.31651018,3549357.552769049,3549357.552769049,3549357.552769049,28279453.931909166,1426085.892665129 
 01/21  17:00:00,-6.5,22.220063750978216,-4.309863818225733,33980648.45491022,4479188.816479392,4479188.816479392,4479188.816479392,27734188.04789997,1752276.6446330536 
 01/21  18:00:00,-6.5,22.22005963495489,-4.30948876764323,34209414.44458588,5624286.233621349,5624286.233621349,5624286.233621349,26787684.67285885,1776557.720605174 
 01/21  19:00:00,-6.5,22.220051731005228,-4.3087988081431545,33908068.474217094,6045788.3062472865,6045788.3062472865,6045788.3062472865,25841936.110444564,1804126.768025081 
 01/21  20:00:00,-6.5,22.220039646062634,-4.308140303455295,33551873.06279449,5971945.160957614,5971945.160957614,5971945.160957614,25550189.58505809,1810478.2216987128 
 01/21  21:00:00,-6.5,22.220037529450405,-4.307711623726857,33355949.730836462,5899533.255808762,5899533.255808762,5899533.255808762,25441515.707042743,1795640.6729048842 
 01/21  22:00:00,-6.5,22.220034426640094,-4.3073689433204985,32930868.347561065,5386254.039457358,5386254.039457358,5386254.039457358,25558372.693549186,1774576.3622019053 
 01/21  23:00:00,-6.5,22.220030849034682,-4.307144358245265,32367558.870175432,4262786.538241955,4262786.538241955,4262786.538241955,26166134.094927777,1737415.893403347 
 01/21  24:00:00,-6.5,22.220037470065922,-4.307144216280295,30296130.68065626,3276627.552965166,3276627.552965166,3276627.552965166,26826046.023928672,0.0 
 08/21  01:00:00,28.595,23.88840531843167,27.758151766511507,5819479.778584529,2519341.8750856025,2519341.8750856025,2519341.8750856025,3109894.0024288874,0.0 
 08/21  02:00:00,28.063333333333333,23.88854102938822,27.250243195639282,5221089.456820628,2300485.626558334,2300485.626558334,2300485.626558334,2730359.9291922553,0.0 
 08/21  03:00:00,27.6875,23.888614165750358,26.8833319902915,4883044.331926479,2226600.0926204654,2226600.0926204654,2226600.0926204654,2466200.3382359752,0.0 
 08/21  04:00:00,27.357499999999998,23.88856455723554,26.570953164642606,4620746.634832384,2171740.4070940726,2171740.4070940726,2171740.4070940726,2258762.3266682727,0.0 
 08/21  05:00:00,27.091666666666665,23.888634491070306,26.309486070651115,4658144.740078036,2335718.210080423,2335718.210080423,2335718.210080423,2127898.3586710603,0.0 
 08/21  06:00:00,27.128333333333334,23.889032247946265,26.28473779402894,6922627.101696492,2902111.397117286,2902111.397117286,2902111.397117286,2144656.868847643,1674368.7252381742 
 08/21  07:00:00,27.66916666666667,23.88943404420661,26.854287096593936,6221843.16348972,3490045.529346395,3490045.529346395,3490045.529346395,2716802.6882455237,0.0 
 08/21  08:00:00,29.080833333333334,23.888955909781732,28.684743122248708,9360216.18856921,3872409.4070758065,3872409.4070758065,3872409.4070758065,3728402.0961573306,1746016.3407844654 
 08/21  09:00:00,31.079166666666666,23.888951606886888,31.666343395924866,9698212.75002412,3436548.288166884,3436548.288166884,3436548.288166884,4501161.971813898,1754611.6184406304 
 08/21  10:00:00,33.04083333333333,23.88934682439889,34.835777450778544,9450166.35389356,3287629.4627914913,3287629.4627914913,3287629.4627914913,5319089.772827228,839430.6149093559 
 08/21  11:00:00,34.782500000000006,23.88932932963006,37.61741839645241,10387800.934379887,3359522.254572048,3359522.254572048,3359522.254572048,6121028.530817884,903233.6456244735 
 08/21  12:00:00,36.11166666666667,23.893038931569464,39.7326340763566,11824294.662597321,3405817.7973429887,3405817.7973429887,3405817.7973429887,6692574.089287906,1721886.2726009432 
 08/21  13:00:00,37.083333333333336,24.01870935314381,41.120519438514606,10234189.58897243,3343416.5845005065,3343416.5845005065,3343416.5845005065,6886756.501106439,0.0 
 08/21  14:00:00,37.770833333333336,24.40506115781505,41.8413148737718,11927479.299227415,3277253.218523652,3277253.218523652,3277253.218523652,6943147.704788244,1703061.8725500351 
 08/21  15:00:00,38.0,24.90758927409539,41.78901440300858,10251147.824928574,3272159.2094632606,3272159.2094632606,3272159.2094632606,6974972.112099832,0.0 
 08/21  16:00:00,37.615,25.32948238890053,40.81176458628923,12213749.766780496,3549357.552769049,3549357.552769049,3549357.552769049,6965239.768065676,1692190.506778936 
 08/21  17:00:00,36.82666666666667,25.578076159496845,39.07790273685581,11416242.694856819,4479188.816479392,4479188.816479392,4479188.816479392,6922058.932479625,0.0 
 08/21  18:00:00,35.818333333333335,25.627880860282655,36.8651748007853,14215345.395876221,5624286.233621349,5624286.233621349,5624286.233621349,6857988.104925792,1712185.2398285728 
 08/21  19:00:00,34.3975,25.293138330586867,34.286079895402246,13596990.016761925,6045788.3062472865,6045788.3062472865,6045788.3062472865,6755731.18550914,579253.2355053414 
 08/21  20:00:00,33.00416666666666,24.508435917779465,32.083384767309475,13980363.634808702,5971945.160957614,5971945.160957614,5971945.160957614,6638938.643368987,1150219.7354020313 
 08/21  21:00:00,31.9225,23.935349076776955,30.776364855824735,14030815.84796501,5899533.255808762,5899533.255808762,5899533.255808762,6188688.993064861,1723333.5040113158 
 08/21  22:00:00,30.9325,23.88952043645196,29.867406953044057,10744878.681482632,5386254.039457358,5386254.039457358,5386254.039457358,5146959.389672661,0.0 
 08/21  23:00:00,30.07083333333333,23.88864080607094,29.089084787050396,10479557.06351472,4262786.538241955,4262786.538241955,4262786.538241955,4323423.756682244,1692124.424988162 
 08/21  24:00:00,29.30083333333333,23.888452636033108,28.399868759327372,7123783.3899125885,3276627.552965166,3276627.552965166,3276627.552965166,3653698.733184999,0.0 
 02/01  01:00:00,4.683333333333334,22.222390241467533,5.555266294932369,16663587.002978306,2498479.0097388276,2498479.0097388276,2498479.0097388276,13974864.09216944,0.0 
 02/01  02:00:00,7.425,22.223236685779042,8.354507594311183,15541572.344027778,2287908.203727021,2287908.203727021,2287908.203727021,13063420.239230718,0.0 
 02/01  03:00:00,7.125,22.22321097287597,7.9501165746776925,16115073.239825923,2218387.455766968,2218387.455766968,2218387.455766968,13706441.882988917,0.0 
 02/01  04:00:00,6.825,22.223105384993264,7.791918676848813,17284658.905635025,2167160.80380385,2167160.80380385,2167160.80380385,14927254.200761136,0.0 
 02/01  05:00:00,5.708333333333333,22.22277805304353,6.749976870922961,19490911.5376376,2326991.86639299,2326991.86639299,2326991.86639299,16969391.49991806,0.0 
 02/01  06:00:00,4.3583333333333325,22.223012744631106,5.428785692628068,22281047.10395569,2888368.680950925,2888368.680950925,2888368.680950925,17486064.902893372,1705123.4096180024 
 02/01  07:00:00,3.5500000000000003,22.22317237700462,4.744859531477977,22141313.383149557,3455726.295687276,3455726.295687276,3455726.295687276,16873772.433322307,1796819.7082421733 
 02/01  08:00:00,2.3666666666666667,22.222874132641405,3.7493321446646477,21504556.823482677,3804342.957438114,3804342.957438114,3804342.957438114,15849760.143716246,1837065.377776709 
 02/01  09:00:00,1.9916666666666671,22.22248398405596,3.453240162075613,19930035.3342331,3331560.1762823085,3331560.1762823085,3331560.1762823085,13959075.773939686,2633508.5124084014 
 02/01  10:00:00,2.5500000000000003,22.22251845593037,4.289423099068745,18130747.852494027,3145052.4172653225,3145052.4172653225,3145052.4172653225,12100746.397093993,2880932.534769233 
 02/01  11:00:00,3.0916666666666663,22.222510147754083,5.370770583202454,16023296.728358459,3201316.809840188,3201316.809840188,3201316.809840188,11012568.986366669,1805394.428786119 
 02/01  12:00:00,3.9416666666666664,22.22250856855966,6.421211963813623,15221776.284546662,3245056.7517732778,3245056.7517732778,3245056.7517732778,10193712.09359838,1778990.935809521 
 02/01  13:00:00,5.1000000000000005,22.22247145696079,7.893849638063874,13169607.844164465,3197289.398662933,3197289.398662933,3197289.398662933,8543658.21834131,1424643.7237947388 
 02/01  14:00:00,6.533333333333332,22.222469838356528,9.478867446363251,9966883.474992674,3143544.016284607,3143544.016284607,3143544.016284607,6487624.5328793,331698.4224632848 
 02/01  15:00:00,7.2,22.222478506099197,9.501130560530855,11046267.834189145,3152610.4832543777,3152610.4832543777,3152610.4832543777,6154788.358397137,1734852.4891721478 
 02/01  16:00:00,7.2,22.222519054476294,9.053472673316291,10788889.914359044,3436226.8211706067,3436226.8211706067,3436226.8211706067,5615786.263838837,1729914.890182765 
 02/01  17:00:00,6.558333333333334,22.222534170407993,8.062378947035446,10836929.028325424,4368891.063756271,4368891.063756271,4368891.063756271,6453043.018671351,0.0 
 02/01  18:00:00,5.108333333333334,22.222577868054927,6.527982199983193,14998623.995798297,5514884.4344747625,5514884.4344747625,5514884.4344747625,7693982.011977249,1768871.731845778 
 02/01  19:00:00,3.466666666666667,22.222612203816794,5.166824450233701,16129077.001326077,5936377.747743254,5936377.747743254,5936377.747743254,8180767.154354215,1795714.809728447 
 02/01  20:00:00,1.5166666666666666,22.222612973336908,3.953028097133179,16636469.132526822,5860851.394397255,5860851.394397255,5860851.394397255,8754746.797322745,1801610.8457267531 
 02/01  21:00:00,0.6,22.22258321756209,3.2746766214017775,17720242.075602308,5788324.826793473,5788324.826793473,5788324.826793473,9925684.766593058,1786972.3871357082 
 02/01  22:00:00,1.2416666666666667,22.222547209415406,3.2903139257621294,18290045.60419876,5275040.848512863,5275040.848512863,5275040.848512863,11036732.218865152,1766607.2844681367 
 02/01  23:00:00,1.0583333333333333,22.222507257956835,3.1535092813813237,18540420.135884445,4175767.1653783405,4175767.1653783405,4175767.1653783405,12430550.749546824,1732879.8773569241 
 02/01  24:00:00,0.6,22.222472847496523,2.511534865393093,17826642.638471674,3228431.3064444675,3228431.3064444675,3228431.3064444675,14404754.228264784,0.0 
 02/02  01:00:00,-0.09999999999999998,22.222561602560166,1.6634898055238205,21393276.77107077,2498479.0097388276,2498479.0097388276,2498479.0097388276,17037875.680800676,1666678.1794612291 
 02/02  02:00:00,-1.2416666666666667,22.223184513791313,0.5447267151101356,21671503.9287595,2287908.203727021,2287908.203727021,2287908.203727021,19193351.823962443,0.0 
 02/02  03:00:00,-1.9916666666666671,22.22292060414893,-0.10142312606590816,23262128.38638173,2218387.455766968,2218387.455766968,2218387.455766968,20853497.02954473,0.0 
 02/02  04:00:00,-2.1999999999999997,22.222842743662316,-0.3023328646901364,23734481.992461376,2167160.80380385,2167160.80380385,2167160.80380385,21377077.287587486,0.0 
 02/02  05:00:00,-2.841666666666667,22.22263024601662,-0.9299986057444701,25030324.360901177,2326991.86639299,2326991.86639299,2326991.86639299,22508804.323181637,0.0 
 02/02  06:00:00,-3.65,22.222605204871517,-1.5276189694304916,27642261.464267623,2888368.680950925,2888368.680950925,2888368.680950925,22847268.49940122,1705134.173422086 
 02/02  07:00:00,-4.191666666666666,22.22287200907604,-1.5267959058054725,26869721.715102013,3455726.295687276,3455726.295687276,3455726.295687276,21601750.81493632,1797249.6585806159 
 02/02  08:00:00,-4.3999999999999995,22.222819893571753,-2.0258484457622052,27581030.283893026,3804342.957438114,3804342.957438114,3804342.957438114,21926591.324685916,1836707.6572173869 
 02/02  09:00:00,-3.7583333333333333,22.222701980470685,-1.4275032789688191,25109544.854322124,3331560.1762823085,3331560.1762823085,3331560.1762823085,19926129.91166445,1845963.8947726628 
 02/02  10:00:00,-2.658333333333333,22.222432381951972,0.17762205882635437,24143488.795698747,3145052.4172653225,3145052.4172653225,3145052.4172653225,17331185.95526585,3663233.919802094 
 02/02  11:00:00,-1.5583333333333336,22.222471714683323,1.4699141151255637,20883516.574856233,3201316.809840188,3201316.809840188,3201316.809840188,15873068.577175265,1805114.684475298 
 02/02  12:00:00,-0.1083333333333334,22.22247780926891,2.896646238811472,19643767.429040417,3245056.7517732778,3245056.7517732778,3245056.7517732778,14615535.211530522,1779158.9623711356 
