Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 01/21  01:00:00,30096495.634598147,2519341.8750856025,2519341.8750856025,2519341.8750856025,27386909.858442508,0.0 
 01/21  02:00:00,30188852.446816836,2300485.626558334,2300485.626558334,2300485.626558334,27698122.91918846,0.0 
 01/21  03:00:00,30265593.473371603,2226600.0926204654,2226600.0926204654,2226600.0926204654,27848749.479681097,0.0 
 01/21  04:00:00,30297172.94802053,2171740.4070940726,2171740.4070940726,2171740.4070940726,27935188.63985642,0.0 
 01/21  05:00:00,31313012.921831142,2335718.210080423,2335718.210080423,2335718.210080423,27885651.94885949,897114.5915646732 
 01/21  06:00:00,31457908.345336106,2902111.397117286,2902111.397117286,2902111.397117286,27569186.36172695,785120.4759984853 
 01/21  07:00:00,32547579.022956163,3490045.529346395,3490045.529346395,3490045.529346395,27242309.961886268,1800228.5858256938 
 01/21  08:00:00,32898220.593201324,3872409.4070758065,3872409.4070758065,3872409.4070758065,27168259.966397244,1844162.8751766607 
 01/21  09:00:00,35071037.93254356,3436548.288166884,3436548.288166884,3436548.288166884,27912674.03896188,3715924.733812097 
 01/21  10:00:00,33457961.12774546,3287629.4627914913,3287629.4627914913,3287629.4627914913,28320736.44913903,1845578.7124494566 
 01/21  11:00:00,33571477.66344817,3359522.254572048,3359522.254572048,3359522.254572048,28389174.260110497,1818764.6454001423 
 01/21  12:00:00,33615997.96299803,3405817.7973429887,3405817.7973429887,3405817.7973429887,28415532.021163877,1790631.641125681 
 01/21  13:00:00,33553566.168487128,3343416.5845005065,3343416.5845005065,3343416.5845005065,28437007.456718486,1769125.623902652 
 01/21  14:00:00,33477392.052970145,3277253.218523652,3277253.218523652,3277253.218523652,28440891.96794588,1755230.3631351243 
 01/21  15:00:00,32011013.892897293,3272159.2094632606,3272159.2094632606,3272159.2094632606,28422946.239197638,311891.94087091286 
 01/21  16:00:00,33261859.31651018,3549357.552769049,3549357.552769049,3549357.552769049,28279453.931909166,1426085.892665129 
 01/21  17:00:00,33980648.45491022,4479188.816479392,4479188.816479392,4479188.816479392,27734188.04789997,1752276.6446330536 
 01/21  18:00:00,34209414.44458588,5624286.233621349,5624286.233621349,5624286.233621349,26787684.67285885,1776557.720605174 
 01/21  19:00:00,33908068.474217094,6045788.3062472865,6045788.3062472865,6045788.3062472865,25841936.110444564,1804126.768025081 
 01/21  20:00:00,33551873.06279449,5971945.160957614,5971945.160957614,5971945.160957614,25550189.58505809,1810478.2216987128 
 01/21  21:00:00,33355949.730836462,5899533.255808762,5899533.255808762,5899533.255808762,25441515.707042743,1795640.6729048842 
 01/21  22:00:00,32930868.347561065,5386254.039457358,5386254.039457358,5386254.039457358,25558372.693549186,1774576.3622019053 
 01/21  23:00:00,32367558.870175432,4262786.538241955,4262786.538241955,4262786.538241955,26166134.094927777,1737415.893403347 
 01/21  24:00:00,30296130.68065626,3276627.552965166,3276627.552965166,3276627.552965166,26826046.023928672,0.0 
 08/21  01:00:00,5819479.778584529,2519341.8750856025,2519341.8750856025,2519341.8750856025,3109894.0024288874,0.0 
 08/21  02:00:00,5221089.456820628,2300485.626558334,2300485.626558334,2300485.626558334,2730359.9291922553,0.0 
 08/21  03:00:00,4883044.331926479,2226600.0926204654,2226600.0926204654,2226600.0926204654,2466200.3382359752,0.0 
 08/21  04:00:00,4620746.634832384,2171740.4070940726,2171740.4070940726,2171740.4070940726,2258762.3266682727,0.0 
 08/21  05:00:00,4658144.740078036,2335718.210080423,2335718.210080423,2335718.210080423,2127898.3586710603,0.0 
 08/21  06:00:00,6922627.101696492,2902111.397117286,2902111.397117286,2902111.397117286,2144656.868847643,1674368.7252381742 
 08/21  07:00:00,6221843.16348972,3490045.529346395,3490045.529346395,3490045.529346395,2716802.6882455237,0.0 
 08/21  08:00:00,9360216.18856921,3872409.4070758065,3872409.4070758065,3872409.4070758065,3728402.0961573306,1746016.3407844654 
 08/21  09:00:00,9698212.75002412,3436548.288166884,3436548.288166884,3436548.288166884,4501161.971813898,1754611.6184406304 
 08/21  10:00:00,9450166.35389356,3287629.4627914913,3287629.4627914913,3287629.4627914913,5319089.772827228,839430.6149093559 
 08/21  11:00:00,10387800.934379887,3359522.254572048,3359522.254572048,3359522.254572048,6121028.530817884,903233.6456244735 
 08/21  12:00:00,11824294.662597321,3405817.7973429887,3405817.7973429887,3405817.7973429887,6692574.089287906,1721886.2726009432 
 08/21  13:00:00,10234189.58897243,3343416.5845005065,3343416.5845005065,3343416.5845005065,6886756.501106439,0.0 
