Location Title,Latitude {N+/S-},Longitude {E+/W-},TimeZone {+/- GMT},Elevation {m}
LOCATION_032d78N-096d80W_-_-_NASA/POWER_-,32.7767,-96.797,-6.0,183.52
Number of Design Conditions,Title of Design Condition,
0
Number of Typical/Extreme Periods,Period Name,Period Type,Period Start Day,Period End Day,<repeat to # periods>
0
Number of Ground Temperature Depths,Ground Temperature Depth {m},Soil Conductivity {W/m-K},Soil Density {kg/m3},Soil Specific Heat {J/kg-K},Jan {C},Feb{C},Mar {C},Apr {C},May {C},Jun {C},Jul {C},Aug {C},Sep {C},Oct {C},Nov {C},Dec {C},<repeat to Number of temperature depths>
0
Leap Year Observed?,Daylight Saving Start Date,Daylight Saving End Date,Number of Holidays,Holiday Name,Holiday Date,<repeat for # Holidays>
No,0,0,0
Comment Line #1
"NASA/POWER CERES/MERRA2 Native Resolution Hourly Data; Period 2021/02/01-2021/02/28 (inclusive)"
Comment Line #2
"The Hourly Averaged Data is in Local Time (LT)"
Number of Data Periods [DP],Number of Intervals per Hour,DP Name/Description,DP Start Day of Week,DP Start Day, DP End Day,<repeat to # Data Periods>
1,1,Data,Sunday,2/ 1,2/28
Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr}
Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
2021/2/1,01:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,2.5,0.6,87,100627,0,0,243,0,0,0,999999,999999,999999,999999,354,4.3,0,5,777.7,77777,9,'999999999,0,0.1410,0,88,999.000,0.0,9.0
2021/2/1,02:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,1.8,0.3,90,100690,0,0,240,0,0,0,999999,999999,999999,999999,349,4.0,0,5,777.7,77777,9,'999999999,0,0.1170,0,88,999.000,0.0,9.0
2021/2/1,03:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,1.2,-0.1,92,100759,0,0,237,0,0,0,999999,999999,999999,999999,343,4.0,0,5,777.7,77777,9,'999999999,0,0.1020,0,88,999.000,0.0,9.0
2021/2/1,04:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,0.7,-0.3,93,100795,0,0,236,0,0,0,999999,999999,999999,999999,341,4.2,0,5,777.7,77777,9,'999999999,0,0.0860,0,88,999.000,0.0,9.0
2021/2/1,05:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,0.1,-0.6,95,100795,0,0,234,0,0,0,999999,999999,999999,999999,342,4.1,0,5,777.7,77777,9,'999999999,0,0.0780,0,88,999.000,0.0,9.0
2021/2/1,06:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,-0.6,-0.8,98,100778,0,0,237,0,0,0,999999,999999,999999,999999,344,3.9,2,5,777.7,77777,9,'999999999,0,0.0780,0,88,999.000,0.0,9.0
2021/2/1,07:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,-0.6,-1.0,98,100794,0,0,234,0,0,0,999999,999999,999999,999999,344,4.0,1,5,777.7,77777,9,'999999999,0,0.0700,0,88,999.000,0.0,9.0
2021/2/1,08:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,-0.6,-1.2,97,100821,51,1402,232,23,266,14,999999,999999,999999,999999,342,4.2,0,5,777.7,77777,9,'999999999,0,0.0550,0,88,0.190,0.0,9.0
2021/2/1,09:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,1.6,-0.9,83,100839,303,1402,236,200,712,46,999999,999999,999999,999999,339,4.6,0,5,777.7,77777,9,'999999999,0,0.0550,0,88,0.190,0.0,9.0
2021/2/1,10:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,5.2,-1.4,62,100874,544,1402,245,404,888,60,999999,999999,999999,999999,351,4.6,0,5,777.7,77777,9,'999999999,0,0.0470,0,88,0.150,0.0,9.0
2021/2/1,11:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,7.9,-1.6,51,100899,733,1402,252,567,957,66,999999,999999,999999,999999,353,4.6,0,5,777.7,77777,9,'999999999,0,0.0470,0,88,0.150,0.0,9.0
2021/2/1,12:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,10.2,-1.6,44,100851,858,1402,276,622,622,242,999999,999999,999999,999999,352,4.4,5,5,777.7,77777,9,'999999999,0,0.0470,0,88,0.140,0.0,9.0
2021/2/1,13:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,12.2,-1.6,38,100724,908,1402,274,705,873,139,999999,999999,999999,999999,351,4.4,2,5,777.7,77777,9,'999999999,0,0.0390,0,88,0.140,0.0,9.0
2021/2/1,14:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,13.5,-1.8,34,100625,883,1402,271,690,925,107,999999,999999,999999,999999,350,4.6,2,5,777.7,77777,9,'999999999,0,0.0390,0,88,0.140,0.0,9.0
2021/2/1,15:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,13.9,-1.8,34,100577,782,1402,284,575,725,171,999999,999999,999999,999999,347,4.4,4,5,777.7,77777,9,'999999999,0,0.0390,0,88,0.140,0.0,9.0
2021/2/1,16:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,13.8,-1.7,34,100535,613,1402,273,446,833,82,999999,999999,999999,999999,345,3.9,1,5,777.7,77777,9,'999999999,0,0.0390,0,88,0.150,0.0,9.0
2021/2/1,17:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,12.7,0.4,43,100471,387,1402,271,254,662,71,999999,999999,999999,999999,346,2.7,2,5,777.7,77777,9,'999999999,0,0.0390,0,88,0.210,0.0,9.0
2021/2/1,18:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,9.5,2.2,61,100453,121,1402,257,63,446,25,999999,999999,999999,999999,353,2.1,0,5,777.7,77777,9,'999999999,0,0.0390,0,88,0.230,0.0,9.0
2021/2/1,19:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,8.7,-0.0,54,100448,0,0,255,0,0,0,999999,999999,999999,999999,5,1.9,0,5,777.7,77777,9,'999999999,0,0.0390,0,88,999.000,0.0,9.0
2021/2/1,20:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,8.4,-0.5,54,100470,0,0,253,0,0,0,999999,999999,999999,999999,18,1.7,0,5,777.7,77777,9,'999999999,0,0.0390,0,88,999.000,0.0,9.0
2021/2/1,21:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,8.2,-0.5,54,100481,0,0,251,0,0,0,999999,999999,999999,999999,38,1.5,0,5,777.7,77777,9,'999999999,0,0.0390,0,88,999.000,0.0,9.0
2021/2/1,22:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,7.8,-0.6,55,100467,0,0,253,0,0,0,999999,999999,999999,999999,65,1.5,1,5,777.7,77777,9,'999999999,0,0.0470,0,88,999.000,0.0,9.0
2021/2/1,23:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,7.2,-0.9,56,100446,0,0,277,0,0,0,999999,999999,999999,999999,88,1.6,9,5,777.7,77777,9,'999999999,0,0.0470,0,88,999.000,0.0,9.0
2021/2/1,24:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,6.4,-1.4,58,100422,0,0,273,0,0,0,999999,999999,999999,999999,102,1.8,9,5,777.7,77777,9,'999999999,0,0.0470,0,88,999.000,0.0,9.0
2021/2/2,01:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,5.7,-1.2,61,100403,0,0,284,0,0,0,999999,999999,999999,999999,111,1.9,9,5,777.7,77777,9,'999999999,0,0.0470,0,88,999.000,0.0,9.0
2021/2/2,02:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,4.8,-0.8,67,100360,0,0,274,0,0,0,999999,999999,999999,999999,120,2.2,9,5,777.7,77777,9,'999999999,0,0.0470,0,88,999.000,0.0,9.0
2021/2/2,03:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,4.0,-0.6,72,100321,0,0,295,0,0,0,999999,999999,999999,999999,126,2.4,9,5,777.7,77777,9,'999999999,0,0.0470,0,88,999.000,0.0,9.0
2021/2/2,04:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9*9?9?9*9*9,3.1,-0.6,76,100272,0,0,290,0,0,0,999999,999999,999999,999999,126,2.6,9,5,777.7,77777,9,'999999999,0,0.0470,0,88,999.000,0.0,9.0
