"Plot Title: Experiment"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 1033900, SEN S/N: 1033900)","Temp, °C (LGR S/N: 1033900, SEN S/N: 1033900)","Host Connected (LGR S/N: 1033900)","Stopped (LGR S/N: 1033900)","End Of File (LGR S/N: 1033900)"
1,03/03/22 01:31:30 PM,17.201,16.344,,,
2,03/03/22 01:31:35 PM,21.342,16.368,,,
3,03/03/22 01:31:40 PM,17.011,16.344,,,
4,03/03/22 01:31:45 PM,17.201,16.392,,,
5,03/03/22 01:31:50 PM,17.701,16.392,,,
6,03/03/22 01:31:55 PM,22.848,16.368,,,
7,03/03/22 01:32:00 PM,22.465,16.368,,,
8,03/03/22 01:32:05 PM,21.557,16.344,,,
9,03/03/22 01:32:10 PM,20.222,16.320,,,
10,03/03/22 01:32:15 PM,22.417,16.320,,,
11,03/03/22 01:32:20 PM,20.889,16.320,,,
12,03/03/22 01:32:25 PM,19.936,16.320,,,
13,03/03/22 01:32:30 PM,19.912,16.296,,,
14,03/03/22 01:32:35 PM,19.865,16.296,,,
15,03/03/22 01:32:40 PM,19.722,16.296,,,
16,03/03/22 01:32:45 PM,19.532,16.296,,,
17,03/03/22 01:32:50 PM,19.318,16.272,,,
18,03/03/22 01:32:55 PM,19.056,16.272,,,
19,03/03/22 01:33:00 PM,18.604,16.272,,,
20,03/03/22 01:33:05 PM,18.461,16.272,,,
21,03/03/22 01:33:10 PM,18.247,16.272,,,
22,03/03/22 01:33:15 PM,17.867,16.249,,,
23,03/03/22 01:33:20 PM,17.701,16.249,,,
24,03/03/22 01:33:25 PM,17.558,16.249,,,
25,03/03/22 01:33:30 PM,17.463,16.249,,,
26,03/03/22 01:33:35 PM,17.415,16.249,,,
27,03/03/22 01:33:40 PM,17.368,16.225,,,
28,03/03/22 01:33:45 PM,17.249,16.225,,,
29,03/03/22 01:33:50 PM,17.106,16.225,,,
30,03/03/22 01:33:55 PM,17.034,16.225,,,
31,03/03/22 01:34:00 PM,16.963,16.201,,,
32,03/03/22 01:34:05 PM,16.939,16.201,,,
33,03/03/22 01:34:10 PM,16.915,16.201,,,
34,03/03/22 01:34:15 PM,16.892,16.201,,,
35,03/03/22 01:34:20 PM,16.868,16.177,,,
36,03/03/22 01:34:25 PM,16.868,16.177,,,
37,03/03/22 01:34:30 PM,16.844,16.177,,,
38,03/03/22 01:34:35 PM,16.820,16.177,,,
39,03/03/22 01:34:40 PM,16.820,16.177,,,
40,03/03/22 01:34:45 PM,16.796,16.177,,,
41,03/03/22 01:34:50 PM,16.796,16.177,,,
42,03/03/22 01:34:55 PM,16.773,16.177,,,
43,03/03/22 01:35:00 PM,16.773,16.177,,,
44,03/03/22 01:35:05 PM,16.773,16.177,,,
45,03/03/22 01:35:10 PM,16.773,16.153,,,
46,03/03/22 01:35:15 PM,16.749,16.153,,,
47,03/03/22 01:35:20 PM,16.773,16.153,,,
48,03/03/22 01:35:25 PM,16.749,16.153,,,
49,03/03/22 01:35:30 PM,16.749,16.153,,,
50,03/03/22 01:35:35 PM,16.725,16.153,,,
51,03/03/22 01:35:40 PM,16.725,16.129,,,
52,03/03/22 01:35:45 PM,16.725,16.129,,,
53,03/03/22 01:35:50 PM,16.725,16.129,,,
54,03/03/22 01:35:55 PM,16.701,16.129,,,
55,03/03/22 01:36:00 PM,16.677,16.129,,,
56,03/03/22 01:36:05 PM,16.677,16.106,,,
57,03/03/22 01:36:10 PM,16.677,16.106,,,
58,03/03/22 01:36:15 PM,16.677,16.106,,,
59,03/03/22 01:36:20 PM,16.677,16.106,,,
60,03/03/22 01:36:25 PM,16.677,16.106,,,
61,03/03/22 01:36:30 PM,16.677,16.106,,,
62,03/03/22 01:36:35 PM,16.677,16.106,,,
63,03/03/22 01:36:40 PM,16.677,16.106,,,
64,03/03/22 01:36:45 PM,16.701,16.082,,,
65,03/03/22 01:36:50 PM,16.701,16.082,,,
66,03/03/22 01:36:55 PM,16.725,16.082,,,
67,03/03/22 01:37:00 PM,16.725,16.082,,,
68,03/03/22 01:37:05 PM,16.725,16.082,,,
69,03/03/22 01:37:10 PM,16.749,16.106,,,
70,03/03/22 01:37:15 PM,16.749,16.106,,,
71,03/03/22 01:37:20 PM,16.773,16.201,,,
72,03/03/22 01:37:25 PM,16.773,16.249,,,
73,03/03/22 01:37:30 PM,16.796,17.344,,,
74,03/03/22 01:37:35 PM,16.796,17.915,,,
75,03/03/22 01:37:40 PM,16.796,18.271,,,
76,03/03/22 01:37:45 PM,16.820,18.628,,,
77,03/03/22 01:37:50 PM,16.844,18.937,,,
78,03/03/22 01:37:55 PM,16.844,19.199,,,
79,03/03/22 01:38:00 PM,16.868,19.532,,,
80,03/03/22 01:38:05 PM,16.868,19.912,,,
81,03/03/22 01:38:10 PM,16.868,20.174,,,
82,03/03/22 01:38:15 PM,16.892,20.460,,,
83,03/03/22 01:38:20 PM,16.892,20.746,,,
84,03/03/22 01:38:25 PM,16.915,21.056,,,
85,03/03/22 01:38:30 PM,16.915,21.390,,,
86,03/03/22 01:38:35 PM,16.915,21.748,,,
87,03/03/22 01:38:40 PM,16.915,22.082,,,
88,03/03/22 01:38:45 PM,16.915,22.441,,,
89,03/03/22 01:38:50 PM,16.915,22.776,,,
90,03/03/22 01:38:55 PM,16.939,23.040,,,
91,03/03/22 01:39:00 PM,16.915,23.328,,,
92,03/03/22 01:39:05 PM,16.939,23.593,,,
93,03/03/22 01:39:10 PM,16.939,23.833,,,
94,03/03/22 01:39:15 PM,16.939,24.098,,,
95,03/03/22 01:39:20 PM,16.939,24.363,,,
96,03/03/22 01:39:25 PM,16.939,24.605,,,
97,03/03/22 01:39:30 PM,16.939,24.847,,,
98,03/03/22 01:39:35 PM,16.939,25.065,,,
99,03/03/22 01:39:40 PM,16.939,25.258,,,
100,03/03/22 01:39:45 PM,16.939,25.477,,,
101,03/03/22 01:39:50 PM,16.963,25.671,,,
102,03/03/22 01:39:55 PM,16.963,25.841,,,
103,03/03/22 01:40:00 PM,16.987,26.036,,,
104,03/03/22 01:40:05 PM,17.011,26.182,,,
105,03/03/22 01:40:10 PM,17.034,26.353,,,
106,03/03/22 01:40:15 PM,17.034,26.524,,,
107,03/03/22 01:40:20 PM,17.058,26.671,,,
108,03/03/22 01:40:25 PM,17.058,26.818,,,
109,03/03/22 01:40:30 PM,17.034,26.965,,,
110,03/03/22 01:40:35 PM,17.058,27.112,,,
111,03/03/22 01:40:40 PM,17.058,27.235,,,
112,03/03/22 01:40:45 PM,17.058,27.358,,,
113,03/03/22 01:40:50 PM,17.058,27.505,,,
114,03/03/22 01:40:55 PM,17.058,27.628,,,
115,03/03/22 01:41:00 PM,17.058,27.727,,,
116,03/03/22 01:41:05 PM,17.058,27.850,,,
117,03/03/22 01:41:10 PM,17.058,27.949,,,
118,03/03/22 01:41:15 PM,17.058,28.072,,,
119,03/03/22 01:41:20 PM,17.058,28.196,,,
120,03/03/22 01:41:25 PM,17.034,28.270,,,
121,03/03/22 01:41:30 PM,17.011,28.369,,,
122,03/03/22 01:41:35 PM,17.011,28.444,,,
123,03/03/22 01:41:40 PM,17.011,28.543,,,
124,03/03/22 01:41:45 PM,17.011,28.617,,,
125,03/03/22 01:41:50 PM,16.987,28.717,,,
126,03/03/22 01:41:55 PM,16.963,28.816,,,
127,03/03/22 01:42:00 PM,16.963,28.891,,,
128,03/03/22 01:42:05 PM,16.963,28.990,,,
129,03/03/22 01:42:10 PM,16.939,29.065,,,
130,03/03/22 01:42:15 PM,16.963,29.115,,,
131,03/03/22 01:42:20 PM,16.939,29.190,,,
132,03/03/22 01:42:25 PM,16.939,29.240,,,
133,03/03/22 01:42:30 PM,16.939,29.290,,,
134,03/03/22 01:42:35 PM,16.939,29.365,,,
135,03/03/22 01:42:40 PM,16.963,29.414,,,
136,03/03/22 01:42:45 PM,16.939,29.439,,,
