Manikin #3.3.34
Interval (sec),30
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. Foot,,,R. Foot,,,L. Low leg,,,R. Low leg,,,L. Thigh,,,R. Thigh,,,Pelvis,,,Head,,,L. Hand,,,R. Hand,,,L. Forearm,,,R. Forearm,,,L. Upper arm,,,R. Upper arm,,,Chest,,,Back,,,Stability,
,(sec),T (degC),P (W/m©÷),Clo (clo),Teq (degC),PMV (%),PPD (degC),SET* (degC),ET* (degC),T (degC),P (W/m©÷),Clo (clo),Teq (degC),PMV (%),PPD (degC),SET* (degC),ET* (degC),T (degC),P (W/m©÷),Clo (clo),Teq (degC),PMV (%),PPD (degC),SET* (degC),ET* (degC),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),,
1/17/2022 11:00:27 AM,30,25.9,185.0,,25.9,,,,,25.9,176.7,,25.9,,,,,0.0,0.0,,0.0,,,,,26.0,167.7,,26.0,168.6,,25.8,181.1,,25.9,180.5,,25.3,190.7,,25.8,184.3,,25.8,194.9,,27.6,171.6,,25.5,183.1,,25.7,179.5,,26.0,176.2,,26.1,173.9,,25.7,187.5,,25.9,182.7,,26.1,192.9,,25.9,197.0,,,
1/17/2022 11:00:58 AM,60,26.8,169.7,,26.8,,,,,26.7,161.1,,26.7,,,,,0.0,0.0,,0.0,,,,,27.0,150.3,,26.8,154.2,,26.6,165.9,,26.7,164.8,,26.5,172.3,,26.6,169.5,,26.5,180.5,,28.4,157.5,,26.2,169.7,,26.4,166.2,,26.8,161.2,,26.9,159.1,,26.5,171.9,,26.8,167.2,,26.9,177.6,,26.7,181.8,,,
1/17/2022 11:01:28 AM,90,27.4,158.6,,27.4,,,,,27.4,148.5,,27.4,,,,,0.0,0.0,,0.0,,,,,27.7,137.3,,27.4,143.3,,27.3,152.9,,27.4,152.0,,27.1,161.4,,27.3,157.8,,26.8,174.8,,28.9,147.7,,26.8,159.8,,27.0,155.7,,27.5,148.6,,27.6,147.1,,27.2,159.0,,27.5,154.3,,27.6,165.0,,27.3,170.0,,,
1/17/2022 11:01:59 AM,120,28.0,147.5,,28.0,,,,,28.0,137.4,,28.0,,,,,0.0,0.0,,0.0,,,,,28.3,126.1,,27.9,133.1,,27.9,141.7,,28.0,140.5,,27.8,147.4,,27.8,148.9,,27.6,161.8,,29.4,139.6,,27.2,152.4,,27.5,146.4,,28.1,137.7,,28.1,136.6,,27.8,147.7,,28.1,143.3,,28.2,153.1,,27.9,159.5,,,
1/17/2022 11:02:29 AM,150,28.5,138.0,,28.5,,,,,28.6,127.4,,28.6,,,,,0.0,0.0,,0.0,,,,,28.8,116.4,,28.4,123.5,,28.5,131.3,,28.5,130.7,,28.4,137.8,,28.4,137.8,,28.0,153.6,,29.7,132.5,,27.6,145.0,,27.9,138.0,,28.6,127.6,,28.6,127.0,,28.4,137.2,,28.6,132.9,,28.8,143.3,,28.4,149.5,,,
1/17/2022 11:02:57 AM,180,28.9,130.6,,28.9,,,,,29.0,119.7,,29.0,,,,,0.0,0.0,,0.0,,,,,29.2,108.8,,28.8,116.6,,29.0,123.0,,28.9,123.3,,28.8,130.1,,28.9,128.5,,28.3,147.7,,30.0,126.8,,27.9,139.1,,28.3,131.6,,29.0,119.8,,29.0,119.5,,28.8,129.5,,29.0,125.3,,29.2,135.6,,28.8,141.9,,,
1/17/2022 11:03:28 AM,210,29.3,123.6,,29.3,,,,,29.3,112.8,,29.3,,,,,0.0,0.0,,0.0,,,,,29.6,102.0,,29.1,110.2,,29.4,115.3,,29.3,116.8,,29.2,122.4,,29.3,121.0,,28.7,141.3,,30.3,121.9,,28.2,134.0,,28.6,125.7,,29.4,112.9,,29.4,112.8,,29.2,121.7,,29.4,117.7,,29.6,127.9,,29.2,134.6,,,
1/17/2022 11:03:58 AM,240,29.6,117.2,,29.6,,,,,29.7,105.8,,29.7,,,,,0.0,0.0,,0.0,,,,,30.0,94.3,,29.5,103.9,,29.7,108.6,,29.7,109.4,,29.6,115.4,,29.6,113.9,,29.0,135.9,,30.6,117.4,,28.4,129.0,,28.9,120.2,,29.8,106.4,,29.7,106.9,,29.6,114.9,,29.8,111.1,,30.0,120.6,,29.6,128.6,,,
1/17/2022 11:04:29 AM,270,29.9,111.5,,29.9,,,,,30.0,100.1,,30.0,,,,,0.0,0.0,,0.0,,,,,30.3,88.7,,29.7,99.2,,30.1,102.4,,30.0,103.6,,29.9,109.4,,30.0,108.2,,29.3,129.9,,30.8,113.6,,28.7,124.5,,29.2,115.4,,30.1,100.7,,30.0,101.5,,29.9,108.7,,30.1,105.0,,30.3,114.8,,29.9,121.8,,,
