Chamber.SetPoint,PCS,Baseline,Time,Power,Cycle
28,HydropoweredMP,TRUE,1/1/00 0:00:00,124,
28,HydropoweredMP,TRUE,1/1/00 0:00:05,122,
28,HydropoweredMP,TRUE,1/1/00 0:00:10,122,
28,HydropoweredMP,TRUE,1/1/00 0:00:15,123,
28,HydropoweredMP,TRUE,1/1/00 0:00:20,124,
28,HydropoweredMP,TRUE,1/1/00 0:00:25,124,
28,HydropoweredMP,TRUE,1/1/00 0:00:30,124,
28,HydropoweredMP,TRUE,1/1/00 0:00:35,123,
28,HydropoweredMP,TRUE,1/1/00 0:00:40,122,
28,HydropoweredMP,TRUE,1/1/00 0:00:45,123,
28,HydropoweredMP,TRUE,1/1/00 0:00:50,122,
28,HydropoweredMP,TRUE,1/1/00 0:00:55,124,
28,HydropoweredMP,TRUE,1/1/00 0:01:00,125,
28,HydropoweredMP,TRUE,1/1/00 0:01:05,125,
28,HydropoweredMP,TRUE,1/1/00 0:01:10,124,
28,HydropoweredMP,TRUE,1/1/00 0:01:15,123,
28,HydropoweredMP,TRUE,1/1/00 0:01:20,122,
28,HydropoweredMP,TRUE,1/1/00 0:01:25,122,
28,HydropoweredMP,TRUE,1/1/00 0:01:30,122,
28,HydropoweredMP,TRUE,1/1/00 0:01:35,124,
28,HydropoweredMP,TRUE,1/1/00 0:01:40,125,
28,HydropoweredMP,TRUE,1/1/00 0:01:45,125,
28,HydropoweredMP,TRUE,1/1/00 0:01:50,123,
28,HydropoweredMP,TRUE,1/1/00 0:01:55,122,
28,HydropoweredMP,TRUE,1/1/00 0:02:00,123,
28,HydropoweredMP,TRUE,1/1/00 0:02:05,123,
28,HydropoweredMP,TRUE,1/1/00 0:02:10,124,
28,HydropoweredMP,TRUE,1/1/00 0:02:15,124,
28,HydropoweredMP,TRUE,1/1/00 0:02:20,124,
28,HydropoweredMP,TRUE,1/1/00 0:02:25,122,
28,HydropoweredMP,TRUE,1/1/00 0:02:30,121,
28,HydropoweredMP,TRUE,1/1/00 0:02:35,123,
28,HydropoweredMP,TRUE,1/1/00 0:02:40,121,
28,HydropoweredMP,TRUE,1/1/00 0:02:45,123,
28,HydropoweredMP,TRUE,1/1/00 0:02:50,124,
28,HydropoweredMP,TRUE,1/1/00 0:02:55,124,
28,HydropoweredMP,TRUE,1/1/00 0:03:00,122,
28,HydropoweredMP,TRUE,1/1/00 0:03:05,122,
