Date,hourly_Historical
6/8/2015 1:00,84
6/8/2015 2:00,84
6/8/2015 3:00,84
6/8/2015 4:00,84
6/8/2015 5:00,84
6/8/2015 6:00,84
6/8/2015 7:00,84
6/8/2015 8:00,86
6/8/2015 9:00,88
6/8/2015 10:00,90
6/8/2015 11:00,91
6/8/2015 12:00,91
6/8/2015 13:00,91
6/8/2015 14:00,91
6/8/2015 15:00,91
6/8/2015 16:00,90
6/8/2015 17:00,90
6/8/2015 18:00,90
6/8/2015 19:00,90
6/8/2015 20:00,90
6/8/2015 21:00,88
6/8/2015 22:00,88
6/8/2015 23:00,88
6/9/2015 0:00,88
6/9/2015 1:00,86
6/9/2015 2:00,86
6/9/2015 3:00,86
6/9/2015 4:00,86
6/9/2015 5:00,86
6/9/2015 6:00,86
6/9/2015 7:00,88
6/9/2015 8:00,88
6/9/2015 9:00,90
6/9/2015 10:00,91
6/9/2015 11:00,91
6/9/2015 12:00,93
6/9/2015 13:00,93
6/9/2015 14:00,93
6/9/2015 15:00,93
6/9/2015 16:00,91
6/9/2015 17:00,91
6/9/2015 18:00,91
6/9/2015 19:00,90
6/9/2015 20:00,88
6/9/2015 21:00,86
6/9/2015 22:00,86
6/9/2015 23:00,86
6/10/2015 0:00,86
6/10/2015 1:00,86
6/10/2015 2:00,86
6/10/2015 3:00,84
6/10/2015 4:00,84
6/10/2015 5:00,84
6/10/2015 6:00,84
6/10/2015 7:00,86
6/10/2015 8:00,86
6/10/2015 9:00,90
6/10/2015 10:00,91
6/10/2015 11:00,91
6/10/2015 12:00,93
6/10/2015 13:00,93
6/10/2015 14:00,93
6/10/2015 15:00,94
6/10/2015 16:00,93
6/10/2015 17:00,91
6/10/2015 18:00,88
6/10/2015 19:00,88
6/10/2015 20:00,88
6/10/2015 21:00,86
6/10/2015 22:00,86
6/10/2015 23:00,86
6/11/2015 0:00,86
6/11/2015 1:00,86
6/11/2015 2:00,86
6/11/2015 3:00,86
6/11/2015 4:00,84
6/11/2015 5:00,84
6/11/2015 6:00,86
6/11/2015 7:00,86
6/11/2015 8:00,88
6/11/2015 9:00,90
6/11/2015 10:00,91
6/11/2015 11:00,93
6/11/2015 12:00,93
6/11/2015 13:00,93
6/11/2015 14:00,93
6/11/2015 15:00,93
6/11/2015 16:00,93
6/11/2015 17:00,93
6/11/2015 18:00,91
6/11/2015 19:00,88
6/11/2015 20:00,88
6/11/2015 21:00,86
6/11/2015 22:00,86
6/11/2015 23:00,86
6/12/2015 0:00,86
6/12/2015 1:00,86
6/12/2015 2:00,86
6/12/2015 3:00,86
