"Alias","ThermalEffect","u.ThermalEffect","Chamber.SetPoint","Clothing","Bedding","Posture","EmergencyBlanket","Bed","PCS","System","Abs.ThermalEffect"
"16_Heavy_Heavy_Fetal_TRUE_Mattress_ElectricMPHigh",5.85324254830104,0.186722337535447,16,"Heavy","Heavy","Fetal","TRUE","Mattress","ElectricMPHigh","Active: Heating",5.85324254830104
"16_Heavy_Heavy_Fetal_TRUE_Mattress_ElectricMPLow",6.11589042516491,0.107636140525824,16,"Heavy","Heavy","Fetal","TRUE","Mattress","ElectricMPLow","Active: Heating",6.11589042516491
"16_Heavy_Heavy_Fetal_TRUE_Mattress_HeatedBlanket",6.80105417202963,0.151628449863282,16,"Heavy","Heavy","Fetal","TRUE","Mattress","HeatedBlanket","Active: Heating",6.80105417202963
"16_Heavy_Heavy_Fetal_TRUE_Mattress_HeatedBlanketOff",5.44217646292197,0.108460700865184,16,"Heavy","Heavy","Fetal","TRUE","Mattress","HeatedBlanketOff","Active: Heating",5.44217646292197
"16_Heavy_Heavy_Fetal_TRUE_Mattress_HWBottleFeet",5.30531893339642,0.153324539675654,16,"Heavy","Heavy","Fetal","TRUE","Mattress","HWBottleFeet","Active: Heating",5.30531893339642
"16_Heavy_Heavy_Fetal_TRUE_Mattress_HWBottlePelvis",5.60656113186383,0.152691322060845,16,"Heavy","Heavy","Fetal","TRUE","Mattress","HWBottlePelvis","Active: Heating",5.60656113186383
"16_Heavy_Heavy_Fetal_TRUE_Mattress_HydropoweredMP",6.49992224796651,0.151532594558421,16,"Heavy","Heavy","Fetal","TRUE","Mattress","HydropoweredMP","Active: Heating",6.49992224796651
"16_Heavy_Heavy_Fetal_TRUE_Mattress_None",5.97780566182015,0.152163488369614,16,"Heavy","Heavy","Fetal","TRUE","Mattress","None","Passive",5.97780566182015
"16_Heavy_Light_Log_FALSE_Mattress_None",1.88128769824072,0.110493709706487,16,"Heavy","Light","Log","FALSE","Mattress","None","Passive",1.88128769824072
"16_Light_Heavy_Log_FALSE_Mattress_None",3.85582811030764,0.108744338779251,16,"Light","Heavy","Log","FALSE","Mattress","None","Passive",3.85582811030764
